"Status","Year","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","7210","6940","43200","38020"
"In post","2021","Commercial","6980","6775","46070","40580"
"In post","2021","Communications","8210","7915","34750","31810"
"In post","2021","Counter Fraud","9620","9055","33830","31810"
"In post","2021","Debt","4670","4220","23290","20140"
"In post","2021","Digital, Data & Technology","13590","13210","41550","38630"
"In post","2021","Finance","9400","8900","39160","34860"
"In post","2021","Grants Management","1895","1730","25520","21050"
"In post","2021","Human Resources","9585","9085","37580","33190"
"In post","2021","Internal Audit","765","730","46070","43080"
"In post","2021","Legal","14845","13735","44010","42180"
"In post","2021","No function","184935","172600","32860","29060"
"In post","2021","Project Delivery","28395","27435","41260","38630"
"In post","2021","Property","9315","8875","34450","32000"
"In post","2021","Security","8760","8575","31610","28130"
"In post","2021","Unknown","166710","153045","30730","27570"
"Leaver CS","2021","Analysis","270","[c]","35660","29540"
"Leaver CS","2021","Commercial","270","[c]","49040","40580"
"Leaver CS","2021","Communications","240","[c]","37380","33300"
"Leaver CS","2021","Counter Fraud","40","[c]","40670","35950"
"Leaver CS","2021","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","430","[c]","41910","38450"
"Leaver CS","2021","Finance","230","[c]","42210","37430"
"Leaver CS","2021","Grants Management","90","[c]","24950","21050"
"Leaver CS","2021","Human Resources","325","[c]","38450","33110"
"Leaver CS","2021","Internal Audit","35","[c]","47440","48580"
"Leaver CS","2021","Legal","670","[c]","43690","43460"
"Leaver CS","2021","No function","9155","[c]","31970","25260"
"Leaver CS","2021","Project Delivery","845","[c]","38000","34000"
"Leaver CS","2021","Property","555","[c]","30950","26500"
"Leaver CS","2021","Security","430","[c]","30050","26670"
"Leaver CS","2021","Unknown","14245","[c]","30170","27570"
"Leaver Dept.","2021","Analysis","280","[c]","41390","36300"
"Leaver Dept.","2021","Commercial","160","[c]","42320","40310"
"Leaver Dept.","2021","Communications","215","[c]","41920","38440"
"Leaver Dept.","2021","Counter Fraud","30","[c]","38520","33000"
"Leaver Dept.","2021","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","235","[c]","45370","40700"
"Leaver Dept.","2021","Finance","200","[c]","46540","43310"
"Leaver Dept.","2021","Grants Management","45","[c]","26340","25070"
"Leaver Dept.","2021","Human Resources","470","[c]","38720","33640"
"Leaver Dept.","2021","Internal Audit","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","220","[c]","43280","38180"
"Leaver Dept.","2021","No function","4020","[c]","37880","32620"
"Leaver Dept.","2021","Project Delivery","525","[c]","41120","37350"
"Leaver Dept.","2021","Property","120","[c]","36190","31980"
"Leaver Dept.","2021","Security","70","[c]","33090","32480"
"Leaver Dept.","2021","Unknown","5365","[c]","34630","30110"
"New entrant CS","2021","Analysis","1220","[c]","34140","31980"
"New entrant CS","2021","Commercial","770","[c]","48250","40000"
"New entrant CS","2021","Communications","1310","[c]","30570","25560"
"New entrant CS","2021","Counter Fraud","200","[c]","30310","27500"
"New entrant CS","2021","Debt","970","[c]","20500","20140"
"New entrant CS","2021","Digital, Data & Technology","1865","[c]","39790","36500"
"New entrant CS","2021","Finance","775","[c]","35200","32790"
"New entrant CS","2021","Grants Management","55","[c]","22400","21050"
"New entrant CS","2021","Human Resources","875","[c]","32470","28000"
"New entrant CS","2021","Internal Audit","50","[c]","42610","41100"
"New entrant CS","2021","Legal","1405","[c]","35430","30850"
"New entrant CS","2021","No function","21185","[c]","28180","24250"
"New entrant CS","2021","Project Delivery","1865","[c]","36060","33000"
"New entrant CS","2021","Property","745","[c]","30640","26550"
"New entrant CS","2021","Security","850","[c]","27010","23540"
"New entrant CS","2021","Unknown","23060","[c]","28010","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
