"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","1030","955","33290","30950"
"In post","2022","Animal and Plant Health Agency","2910","2755","30550","27960"
"In post","2022","Attorney General's Office","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","9930","9745","47220","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","650","615","34110","30220"
"In post","2022","Charity Commission","465","440","34000","29160"
"In post","2022","Companies House","1175","1090","30980","25100"
"In post","2022","Competition and Markets Authority","860","835","61280","57000"
"In post","2022","Criminal Injuries Compensation Authority","320","300","27600","25120"
"In post","2022","Crown Commercial Service","810","790","40080","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","2350","2210","36710","31540"
"In post","2022","Crown Prosecution Service","7040","6565","41400","38000"
"In post","2022","Defence Electronics and Components Agency","435","420","29380","29470"
"In post","2022","Defence Equipment and Support","10745","10355","36770","34000"
"In post","2022","Defence Science and Technology Laboratory","4655","4485","41080","38110"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","6010","5880","48830","49080"
"In post","2022","Department for Digital, Culture, Media and Sport","2010","1980","46970","51730"
"In post","2022","Department for Education (excl. agencies)","6300","6075","44190","40300"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","6490","6265","42030","38060"
"In post","2022","Department for International Trade","2880","2850","46590","42310"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","3310","3230","45690","40600"
"In post","2022","Department for Transport (excl. agencies)","3665","3570","48480","43360"
"In post","2022","Department for Work and Pensions (excl. agencies)","91450","82100","28080","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","4075","3940","47460","43480"
"In post","2022","Disclosure Scotland","355","335","29150","23230"
"In post","2022","Driver and Vehicle Licensing Agency","6360","5640","26330","21840"
"In post","2022","Driver and Vehicle Standards Agency","4925","4645","29590","26830"
"In post","2022","Education and Skills Funding Agency","1905","1840","41390","36960"
"In post","2022","Education Scotland","330","320","57430","62170"
"In post","2022","Estyn","115","105","59220","75480"
"In post","2022","FCDO Services","1085","1040","40200","37480"
"In post","2022","Food Standards Agency","1455","1415","37600","32830"
"In post","2022","Food Standards Scotland","305","295","35950","31540"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","7075","6940","49220","48400"
"In post","2022","Forestry and Land Scotland","1015","980","32880","31060"
"In post","2022","Government Actuary's Department","225","210","65910","57250"
"In post","2022","Government Internal Audit Agency","455","430","48780","46370"
"In post","2022","Government Legal Department","2630","2450","54200","51830"
"In post","2022","Government Property Agency","310","305","50830","49700"
"In post","2022","Health and Safety Executive","2705","2555","42780","39500"
"In post","2022","HM Courts and Tribunals Service","16110","14605","26770","23720"
"In post","2022","HM Crown Prosecution Service Inspectorate","30","30","58800","58020"
"In post","2022","HM Land Registry","6635","6040","31310","27130"
"In post","2022","HM Prison and Probation Service","61710","58160","30330","28200"
"In post","2022","HM Revenue and Customs (excl. agencies)","67505","62710","33310","30750"
"In post","2022","HM Treasury (excl. agencies)","2110","2065","47470","49500"
"In post","2022","Home Office","36535","34230","32660","28650"
"In post","2022","Institute for Apprenticeships and Technical Education","280","275","48740","49960"
"In post","2022","Intellectual Property Office","1715","1620","38380","32100"
"In post","2022","Legal Aid Agency","1165","1090","30010","25120"
"In post","2022","Maritime and Coastguard Agency","1235","1200","37390","34040"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","1130","1095","49200","42160"
"In post","2022","Met Office","2165","2060","39640","39650"
"In post","2022","Ministry of Defence (excl. agencies)","37375","36110","32920","29250"
"In post","2022","Ministry of Justice (excl. agencies)","6160","6005","43140","41100"
"In post","2022","National Crime Agency","5545","5405","40690","37860"
"In post","2022","National Infrastructure Commission","50","45","53740","52360"
"In post","2022","National Records of Scotland","455","430","36140","33070"
"In post","2022","National Savings and Investments","200","200","50940","46110"
"In post","2022","Northern Ireland Office","175","175","46380","41750"
"In post","2022","Office for Budget Responsibility","40","40","51460","52530"
"In post","2022","Office for Standards in Education, Children's Services and Skills","1830","1760","50310","51360"
"In post","2022","Office of Gas and Electricity Markets","1350","1325","43480","37120"
"In post","2022","Office of Qualifications and Examinations Regulation","290","280","44640","40190"
"In post","2022","Office of Rail and Road","350","335","54060","54890"
"In post","2022","Office of the Public Guardian","1435","1320","24010","20970"
