"Status","Year","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA","18705","16930","22200","22180"
"In post","2023","AO","117895","106630","24600","22520"
"In post","2023","EO","127335","118140","29060","28120"
"In post","2023","G6","20740","19960","70880","69890"
"In post","2023","G7","54480","52645","56750","55850"
"In post","2023","HEO","84900","81605","35150","34700"
"In post","2023","SCS level","7385","7140","92370","83980"
"In post","2023","SEO","62630","60475","43110","42140"
"In post","2023","Unknown","25715","24140","32350","29050"
"Leaver CS","2023","AA","2755","[c]","21200","20750"
"Leaver CS","2023","AO","14515","[c]","22800","21780"
"Leaver CS","2023","EO","10440","[c]","28510","28120"
"Leaver CS","2023","G6","1545","[c]","70750","68610"
"Leaver CS","2023","G7","3645","[c]","56460","55110"
"Leaver CS","2023","HEO","5650","[c]","34560","33990"
"Leaver CS","2023","SCS level","725","[c]","99240","91890"
"Leaver CS","2023","SEO","4430","[c]","42580","41720"
"Leaver CS","2023","Unknown","2375","[c]","38160","33990"
"Leaver Dept.","2023","AA","155","[c]","21530","21200"
"Leaver Dept.","2023","AO","2550","[c]","22350","21780"
"Leaver Dept.","2023","EO","3565","[c]","28130","28120"
"Leaver Dept.","2023","G6","675","[c]","67720","66530"
"Leaver Dept.","2023","G7","1920","[c]","54970","54700"
"Leaver Dept.","2023","HEO","3690","[c]","33630","33530"
"Leaver Dept.","2023","SCS level","390","[c]","89490","80660"
"Leaver Dept.","2023","SEO","2240","[c]","41320","41160"
"Leaver Dept.","2023","Unknown","180","[c]","41110","40210"
"New entrant CS","2023","AA","4315","[c]","22520","22190"
"New entrant CS","2023","AO","21635","[c]","24200","22520"
"New entrant CS","2023","EO","10835","[c]","27730","27570"
"New entrant CS","2023","G6","705","[c]","71310","68720"
"New entrant CS","2023","G7","2905","[c]","55590","54250"
"New entrant CS","2023","HEO","7390","[c]","33550","33520"
"New entrant CS","2023","SCS level","305","[c]","102500","95000"
"New entrant CS","2023","SEO","4175","[c]","41940","41200"
"New entrant CS","2023","Unknown","4495","[c]","23750","23640"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
