"Status","Year","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","1935","1820","36780","31540"
"In post","2022","Angus and Dundee City","2080","1950","27320","24400"
"In post","2022","Antrim and Newtownabbey","210","200","26210","20810"
"In post","2022","Ards and North Down","245","235","27180","21920"
"In post","2022","Armagh City, Banbridge and Craigavon","20","20","31740","28550"
"In post","2022","Barking & Dagenham and Havering","695","640","31640","31060"
"In post","2022","Barnet","1795","1680","39640","32330"
"In post","2022","Barnsley, Doncaster and Rotherham","3125","2800","27780","27570"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","13745","13180","38070","35000"
"In post","2022","Bedford","860","805","30670","28140"
"In post","2022","Belfast","3135","2955","30630","26820"
"In post","2022","Berkshire","2930","2795","34450","30810"
"In post","2022","Bexley and Greenwich","1795","1715","32220","31060"
"In post","2022","Birmingham","13035","12210","31690","27570"
"In post","2022","Blackburn with Darwen","480","435","27310","27570"
"In post","2022","Blackpool","5555","5115","29940","27570"
"In post","2022","Bournemouth, Christchurch and Poole","785","710","28090","27570"
"In post","2022","Bradford","2765","2445","26050","22080"
"In post","2022","Breckland and South Norfolk","515","485","29530","27120"
"In post","2022","Brent","620","575","32350","31060"
"In post","2022","Bridgend and Neath Port Talbot","775","690","27910","27570"
"In post","2022","Brighton and Hove","735","665","32720","27570"
"In post","2022","Bristol, City of","6725","6290","35250","31820"
"In post","2022","Bromley","570","520","32020","31060"
"In post","2022","Buckinghamshire","1690","1605","33220","30450"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","200","185","30480","27570"
"In post","2022","Calderdale and Kirklees","1070","960","28350","27570"
"In post","2022","Cambridgeshire CC","3485","3320","33510","31550"
"In post","2022","Camden and City of London","2095","2005","39190","31060"
"In post","2022","Cardiff and Vale of Glamorgan","11935","11220","34500","29430"
"In post","2022","Causeway Coast and Glens","70","70","22160","20560"
"In post","2022","Central Bedfordshire","440","425","31600","28500"
"In post","2022","Central Hampshire","4330","4165","37080","33300"
"In post","2022","Central Valleys","2685","2500","31960","27570"
"In post","2022","Cheshire East","1225","1145","30230","27120"
"In post","2022","Cheshire West and Chester","510","470","28600","27570"
"In post","2022","Chorley and West Lancashire","1435","1325","30220","27570"
"In post","2022","City of Edinburgh","13705","13095","38900","34040"
"In post","2022","Clackmannanshire and Fife","1330","1235","30770","27570"
"In post","2022","Conwy and Denbighshire","730","685","35440","29430"
"In post","2022","Cornwall and Isles of Scilly","1770","1620","27790","26750"
"In post","2022","Coventry","2555","2425","37000","33840"
"In post","2022","Croydon","10555","10065","39640","35200"
"In post","2022","Darlington","1310","1250","36840","32570"
"In post","2022","Derby","1120","1000","27240","25120"
"In post","2022","Derry City and Strabane","10","10","21050","19880"
"In post","2022","Devon CC","5680","5210","32620","27570"
"In post","2022","Dorset","2205","2070","29850","27130"
