"Status","Year","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","5360","5175","40420","37420"
"In post","2021","Communications","3960","3830","41550","38540"
"In post","2021","Corporate Finance","165","160","47800","46080"
"In post","2021","Counter Fraud","895","855","38100","35240"
"In post","2021","Digital, Data and Technology","13290","12955","41770","38630"
"In post","2021","Economics","2165","2120","47120","43300"
"In post","2021","Finance","9165","8715","40350","36780"
"In post","2021","Human Resources","7865","7460","38650","33860"
"In post","2021","Inspector of Education and Training","860","835","66460","74730"
"In post","2021","Intelligence Analysis","3395","3255","35140","31510"
"In post","2021","Internal Audit","775","740","45800","42810"
"In post","2021","International Trade","1470","1450","46910","40920"
"In post","2021","Knowledge and Information Management","2385","2280","36810","33340"
"In post","2021","Legal","12145","11355","48080","49710"
"In post","2021","Medicine","2505","2245","56290","41720"
"In post","2021","Operational Delivery","176110","162025","28680","25830"
"In post","2021","Operational Research","1190","1145","44250","42490"
"In post","2021","Other","22665","21770","31860","26930"
"In post","2021","Planning","200","190","45970","40720"
"In post","2021","Planning Inspectors","345","305","57920","58810"
"In post","2021","Policy","29090","28295","47390","43050"
"In post","2021","Project Delivery","16015","15540","42450","39040"
"In post","2021","Property","6960","6660","36360","33300"
"In post","2021","Psychology","1420","1355","35680","31180"
"In post","2021","Science and Engineering","14090","13515","38760","37320"
"In post","2021","Security","8310","8145","31490","27760"
"In post","2021","Social Research","1160","1110","42620","40020"
"In post","2021","Statistics","2040","1965","43260","39440"
"In post","2021","Tax","17800","16800","33340","31810"
"In post","2021","Unknown","120640","110145","30900","27570"
"In post","2021","Veterinarian","450","430","45960","44610"
"Leaver CS","2021","Commercial","195","[c]","39180","36780"
"Leaver CS","2021","Communications","230","[c]","36940","33300"
"Leaver CS","2021","Corporate Finance","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","35","[c]","40670","36060"
"Leaver CS","2021","Digital, Data and Technology","460","[c]","41930","38000"
"Leaver CS","2021","Economics","115","[c]","34070","25030"
"Leaver CS","2021","Finance","255","[c]","42300","37590"
"Leaver CS","2021","Human Resources","305","[c]","38520","33560"
"Leaver CS","2021","Inspector of Education and Training","75","[c]","67790","75500"
"Leaver CS","2021","Intelligence Analysis","80","[c]","35470","32430"
"Leaver CS","2021","Internal Audit","35","[c]","47470","48580"
"Leaver CS","2021","International Trade","45","[c]","43030","32120"
"Leaver CS","2021","Knowledge and Information Management","115","[c]","34820","31570"
"Leaver CS","2021","Legal","415","[c]","53190","54810"
"Leaver CS","2021","Medicine","260","[c]","53470","38890"
"Leaver CS","2021","Operational Delivery","8255","[c]","27860","22720"
"Leaver CS","2021","Operational Research","50","[c]","32660","27450"
"Leaver CS","2021","Other","1470","[c]","30290","26930"
"Leaver CS","2021","Planning","10","[c]","44750","40000"
"Leaver CS","2021","Planning Inspectors","25","[c]","42680","41020"
"Leaver CS","2021","Policy","825","[c]","45610","40180"
"Leaver CS","2021","Project Delivery","450","[c]","41160","37920"
"Leaver CS","2021","Property","435","[c]","32780","28950"
"Leaver CS","2021","Psychology","105","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","805","[c]","32700","29700"
"Leaver CS","2021","Security","405","[c]","30430","26750"
"Leaver CS","2021","Social Research","40","[c]","36530","34840"
"Leaver CS","2021","Statistics","50","[c]","34970","29540"
"Leaver CS","2021","Unknown","12260","[c]","29920","27240"
"Leaver CS","2021","Veterinarian","20","[c]","48790","51760"
"Leaver Dept.","2021","Commercial","165","[c]","37240","34800"
"Leaver Dept.","2021","Communications","200","[c]","43680","39850"
"Leaver Dept.","2021","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","20","[c]","39530","31970"
"Leaver Dept.","2021","Digital, Data and Technology","205","[c]","44900","40380"
"Leaver Dept.","2021","Economics","120","[c]","44840","46150"
"Leaver Dept.","2021","Finance","225","[c]","46790","45200"
"Leaver Dept.","2021","Human Resources","320","[c]","39520","35960"
"Leaver Dept.","2021","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","50","[c]","36740","35050"
"Leaver Dept.","2021","Internal Audit","15","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","135","[c]","45790","42030"
"Leaver Dept.","2021","Knowledge and Information Management","45","[c]","41990","37220"
"Leaver Dept.","2021","Legal","120","[c]","55160","54810"
"Leaver Dept.","2021","Medicine","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","1985","[c]","29000","24620"
"Leaver Dept.","2021","Operational Research","45","[c]","40300","37320"
"Leaver Dept.","2021","Other","305","[c]","37100","31160"
"Leaver Dept.","2021","Planning","15","[c]","50570","37410"
"Leaver Dept.","2021","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","1690","[c]","44170","39250"
"Leaver Dept.","2021","Project Delivery","410","[c]","41880","37640"
"Leaver Dept.","2021","Property","65","[c]","37530","33300"
"Leaver Dept.","2021","Psychology","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","130","[c]","36630","33060"
"Leaver Dept.","2021","Security","50","[c]","35780","31520"
"Leaver Dept.","2021","Social Research","40","[c]","38840","34930"
"Leaver Dept.","2021","Statistics","100","[c]","40130","35600"
"Leaver Dept.","2021","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","5485","[c]","35680","32000"
"New entrant CS","2021","Commercial","475","[c]","36480","34710"
"New entrant CS","2021","Communications","475","[c]","36110","32330"
"New entrant CS","2021","Corporate Finance","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","50","[c]","33110","31000"
"New entrant CS","2021","Digital, Data and Technology","1850","[c]","40610","37000"
"New entrant CS","2021","Economics","480","[c]","32020","31810"
"New entrant CS","2021","Finance","720","[c]","35770","32790"
"New entrant CS","2021","Human Resources","715","[c]","33610","29360"
"New entrant CS","2021","Inspector of Education and Training","90","[c]","63580","70500"
"New entrant CS","2021","Intelligence Analysis","160","[c]","37840","31280"
"New entrant CS","2021","Internal Audit","45","[c]","43420","41270"
"New entrant CS","2021","International Trade","145","[c]","33230","31800"
"New entrant CS","2021","Knowledge and Information Management","175","[c]","32350","30460"
"New entrant CS","2021","Legal","930","[c]","42050","43920"
"New entrant CS","2021","Medicine","395","[c]","51800","38890"
"New entrant CS","2021","Operational Delivery","16025","[c]","25570","22850"
"New entrant CS","2021","Operational Research","120","[c]","32840","33300"
"New entrant CS","2021","Other","1825","[c]","28340","25000"
"New entrant CS","2021","Planning","25","[c]","35900","30190"
"New entrant CS","2021","Planning Inspectors","5","[c]","[c]","[c]"
"New entrant CS","2021","Policy","3330","[c]","37410","33570"
"New entrant CS","2021","Project Delivery","1180","[c]","37680","34710"
"New entrant CS","2021","Property","490","[c]","33820","30000"
"New entrant CS","2021","Psychology","120","[c]","26440","24620"
"New entrant CS","2021","Science and Engineering","1310","[c]","31560","28650"
"New entrant CS","2021","Security","750","[c]","27350","24540"
"New entrant CS","2021","Social Research","215","[c]","33560","32540"
"New entrant CS","2021","Statistics","365","[c]","33510","31810"
"New entrant CS","2021","Tax","3245","[c]","22580","20140"
"New entrant CS","2021","Unknown","21450","[c]","28500","27570"
"New entrant CS","2021","Veterinarian","30","[c]","35680","35900"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","",""
"","The Department for Work and Pensions provided aggregated professions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
