"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Scottish Prison Service","4540","4260","35040","37060"
"In post","2023","Scottish Public Pensions Agency","370","345","32070","27740"
"In post","2023","Serious Fraud Office","460","450","48650","42500"
"In post","2023","Social Security Scotland","4025","3855","31460","29100"
"In post","2023","Standards and Testing Agency","130","125","43100","41440"
"In post","2023","Student Awards Agency for Scotland","265","255","33190","29450"
"In post","2023","Submarine Delivery Agency","2090","2035","43320","41490"
"In post","2023","Teaching Regulation Agency","85","80","32490","30330"
"In post","2023","The Insolvency Service","1650","1565","35140","31840"
"In post","2023","The National Archives","590","560","37440","34940"
"In post","2023","Transport Scotland","530","515","48720","49860"
"In post","2023","UK Debt Management Office","115","115","62440","57000"
"In post","2023","UK Export Finance","520","515","54840","51510"
"In post","2023","UK Health Security Agency","5420","5130","46190","40880"
"In post","2023","UK Hydrographic Office","940","900","37560","34370"
"In post","2023","UK Space Agency","265","265","47980","43650"
"In post","2023","UK Statistics Authority","6130","5510","35460","31560"
"In post","2023","UK Supreme Court","55","55","38100","33450"
"In post","2023","Valuation Office Agency","3985","3740","35710","32260"
"In post","2023","Vehicle Certification Agency","215","200","36920","34970"
"In post","2023","Veterinary Medicines Directorate","165","160","43210","40260"
"In post","2023","Water Services Regulation Authority","265","255","56510","50260"
"In post","2023","Welsh Government (excl. agencies)","5970","5640","43720","39690"
"In post","2023","Welsh Revenue Authority","80","80","46880","43660"
"In post","2023","Wilton Park","85","80","35870","31620"
"Leaver CS","2023","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Advisory, Conciliation and Arbitration Service","85","[c]","39180","34500"
"Leaver CS","2023","Animal and Plant Health Agency","290","[c]","30140","25920"
"Leaver CS","2023","Attorney General's Office","5","[c]","[c]","[c]"
"Leaver CS","2023","Building Digital UK","35","[c]","40400","35620"
"Leaver CS","2023","Cabinet Office (excl. agencies)","770","[c]","46260","40600"
"Leaver CS","2023","Central Civil Service Fast Stream","115","[c]","30570","30130"
"Leaver CS","2023","Centre for Environment, Fisheries and Aquaculture Science","55","[c]","33140","29750"
"Leaver CS","2023","Charity Commission","50","[c]","33010","30170"
"Leaver CS","2023","Companies House","100","[c]","32520","25610"
"Leaver CS","2023","Competition and Markets Authority","120","[c]","54530","53530"
"Leaver CS","2023","Criminal Injuries Compensation Authority","10","[c]","[c]","[c]"
"Leaver CS","2023","Crown Commercial Service","75","[c]","40220","38330"
"Leaver CS","2023","Crown Office and Procurator Fiscal Service","120","[c]","34390","24490"
"Leaver CS","2023","Crown Prosecution Service","470","[c]","38610","30560"
"Leaver CS","2023","Defence Electronics and Components Agency","30","[c]","32060","30060"
"Leaver CS","2023","Defence Equipment and Support","930","[c]","37860","33990"
"Leaver CS","2023","Defence Science and Technology Laboratory","360","[c]","37090","38070"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","575","[c]","47380","40830"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","205","[c]","45810","42120"
"Leaver CS","2023","Department for Education (excl. agencies)","445","[c]","42490","37910"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","555","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","260","[c]","41500","38160"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","315","[c]","42340","37270"
"Leaver CS","2023","Department for Transport (excl. agencies)","260","[c]","48410","43750"
"Leaver CS","2023","Department for Work and Pensions (excl. agencies)","8205","[c]","27750","27570"
"Leaver CS","2023","Department of Health and Social Care (excl. agencies)","505","[c]","[c]","[c]"
"Leaver CS","2023","Disclosure Scotland","20","[c]","31970","29450"
"Leaver CS","2023","Driver and Vehicle Licensing Agency","600","[c]","24670","22500"
"Leaver CS","2023","Driver and Vehicle Standards Agency","580","[c]","28700","27190"
"Leaver CS","2023","Education Scotland","20","[c]","60950","70920"
"Leaver CS","2023","Education and Skills Funding Agency","70","[c]","45710","39550"
"Leaver CS","2023","Estyn","15","[c]","46230","30610"
"Leaver CS","2023","FCDO Services","80","[c]","37160","33470"
"Leaver CS","2023","Food Standards Agency","95","[c]","37200","31260"
"Leaver CS","2023","Food Standards Scotland","25","[c]","37560","34730"
"Leaver CS","2023","Foreign, Commonwealth and Development Office (excl. agencies)","345","[c]","[c]","[c]"
"Leaver CS","2023","Forestry and Land Scotland","115","[c]","33430","29560"
"Leaver CS","2023","Government Actuary's Department","35","[c]","57610","41850"
"Leaver CS","2023","Government Commercial Organisation","150","[c]","76560","68040"
"Leaver CS","2023","Government Internal Audit Agency","45","[c]","47340","44590"
"Leaver CS","2023","Government Legal Department","255","[c]","52930","52290"
"Leaver CS","2023","Government Property Agency","30","[c]","45070","38580"
"Leaver CS","2023","HM Courts and Tribunals Service","2010","[c]","25480","21780"
"Leaver CS","2023","HM Land Registry","495","[c]","34270","31680"
"Leaver CS","2023","HM Prison and Probation Service","7280","[c]","36670","30410"
"Leaver CS","2023","HM Revenue and Customs (excl. agencies)","4325","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury (excl. agencies)","285","[c]","43070","37900"
"Leaver CS","2023","Health and Safety Executive","220","[c]","42130","40510"
"Leaver CS","2023","Home Office","2520","[c]","32670","26750"
"Leaver CS","2023","Institute for Apprenticeships and Technical Education","20","[c]","48060","42230"
"Leaver CS","2023","Intellectual Property Office","90","[c]","36990","30640"
"Leaver CS","2023","Legal Aid Agency","70","[c]","29820","21780"
"Leaver CS","2023","Maritime and Coastguard Agency","190","[c]","33950","27450"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","205","[c]","50180","41480"
"Leaver CS","2023","Met Office","165","[c]","35850","35230"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","3415","[c]","33820","29570"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","555","[c]","44110","41510"
"Leaver CS","2023","National Crime Agency","370","[c]","42290","38980"
"Leaver CS","2023","National Infrastructure Commission","10","[c]","[c]","[c]"
"Leaver CS","2023","National Records of Scotland","45","[c]","33060","29450"
"Leaver CS","2023","National Savings and Investments","30","[c]","48770","44000"
"Leaver CS","2023","Northern Ireland Office","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Budget Responsibility","5","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","235","[c]","54560","52750"
"Leaver CS","2023","Office of Gas and Electricity Markets","260","[c]","44840","38900"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","25","[c]","51300","39140"
"Leaver CS","2023","Office of Rail and Road","35","[c]","53470","55410"
"Leaver CS","2023","Office of the Public Guardian","100","[c]","23000","21780"
"Leaver CS","2023","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","15","[c]","36420","29660"
"Leaver CS","2023","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","65","[c]","43430","40720"
"Leaver CS","2023","Queen Elizabeth II Centre","10","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","45","[c]","37800","37710"
"Leaver CS","2023","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Royal Fleet Auxiliary","200","[c]","36910","34110"
"Leaver CS","2023","Rural Payments Agency","210","[c]","24290","22150"
"Leaver CS","2023","Scottish Courts and Tribunals Service","160","[c]","29000","25060"
"Leaver CS","2023","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Forestry","15","[c]","40930","40510"
"Leaver CS","2023","Scottish Government (excl. agencies)","495","[c]","43300","38330"
"Leaver CS","2023","Scottish Prison Service","405","[c]","33340","37060"
"Leaver CS","2023","Scottish Public Pensions Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","70","[c]","46110","42010"
"Leaver CS","2023","Social Security Scotland","160","[c]","28980","24890"
"Leaver CS","2023","Standards and Testing Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Student Awards Agency for Scotland","30","[c]","24970","22180"
"Leaver CS","2023","Submarine Delivery Agency","170","[c]","41920","38790"
"Leaver CS","2023","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","95","[c]","30630","25060"
"Leaver CS","2023","The National Archives","90","[c]","33050","29840"
"Leaver CS","2023","Transport Scotland","40","[c]","44510","38330"
"Leaver CS","2023","UK Debt Management Office","15","[c]","54110","50000"
"Leaver CS","2023","UK Export Finance","75","[c]","53250","42000"
"Leaver CS","2023","UK Health Security Agency","1920","[c]","40840","36010"
"Leaver CS","2023","UK Hydrographic Office","85","[c]","33670","31090"
"Leaver CS","2023","UK Space Agency","30","[c]","48810","50680"
"Leaver CS","2023","UK Statistics Authority","695","[c]","29850","23670"
"Leaver CS","2023","UK Supreme Court","20","[c]","36820","37230"
"Leaver CS","2023","Valuation Office Agency","265","[c]","35180","29440"
"Leaver CS","2023","Vehicle Certification Agency","20","[c]","32640","31460"
"Leaver CS","2023","Veterinary Medicines Directorate","15","[c]","42830","40260"
"Leaver CS","2023","Water Services Regulation Authority","40","[c]","48110","45420"
"Leaver CS","2023","Welsh Government (excl. agencies)","210","[c]","41790","38160"
"Leaver CS","2023","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Wilton Park","10","[c]","34050","25860"
"Leaver Dept.","2023","Active Travel England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Advisory, Conciliation and Arbitration Service","25","[c]","30830","25160"
"Leaver Dept.","2023","Animal and Plant Health Agency","55","[c]","27320","25920"
"Leaver Dept.","2023","Attorney General's Office","15","[c]","50230","52560"
"Leaver Dept.","2023","Building Digital UK","30","[c]","44080","38280"
"Leaver Dept.","2023","Cabinet Office (excl. agencies)","1105","[c]","45290","40600"
"Leaver Dept.","2023","Central Civil Service Fast Stream","520","[c]","31790","32000"
"Leaver Dept.","2023","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","20","[c]","31180","29260"
"Leaver Dept.","2023","Companies House","40","[c]","37350","32900"
"Leaver Dept.","2023","Competition and Markets Authority","35","[c]","46250","36960"
"Leaver Dept.","2023","Criminal Injuries Compensation Authority","20","[c]","25910","25470"
"Leaver Dept.","2023","Crown Commercial Service","35","[c]","36980","38980"
"Leaver Dept.","2023","Crown Office and Procurator Fiscal Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Crown Prosecution Service","130","[c]","37160","31180"
"Leaver Dept.","2023","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Defence Equipment and Support","50","[c]","37850","36490"
"Leaver Dept.","2023","Defence Science and Technology Laboratory","60","[c]","42360","39890"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","490","[c]","44500","40050"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","220","[c]","45680","38280"
"Leaver Dept.","2023","Department for Education (excl. agencies)","460","[c]","43750","39220"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","455","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","220","[c]","42810","38160"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","445","[c]","42330","36340"
"Leaver Dept.","2023","Department for Transport (excl. agencies)","230","[c]","44560","39040"
"Leaver Dept.","2023","Department for Work and Pensions (excl. agencies)","2695","[c]","30100","28120"
"Leaver Dept.","2023","Department of Health and Social Care (excl. agencies)","405","[c]","[c]","[c]"
"Leaver Dept.","2023","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Driver and Vehicle Licensing Agency","210","[c]","29240","27190"
"Leaver Dept.","2023","Driver and Vehicle Standards Agency","125","[c]","31240","26960"
"Leaver Dept.","2023","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Education and Skills Funding Agency","55","[c]","41690","37590"
"Leaver Dept.","2023","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","FCDO Services","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","60","[c]","39210","37460"
"Leaver Dept.","2023","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office (excl. agencies)","225","[c]","[c]","[c]"
"Leaver Dept.","2023","Forestry and Land Scotland","20","[c]","40920","40510"
"Leaver Dept.","2023","Government Actuary's Department","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Government Commercial Organisation","25","[c]","55310","56000"
"Leaver Dept.","2023","Government Internal Audit Agency","20","[c]","42590","42320"
"Leaver Dept.","2023","Government Legal Department","110","[c]","49590","51250"
"Leaver Dept.","2023","Government Property Agency","25","[c]","49260","49700"
"Leaver Dept.","2023","HM Courts and Tribunals Service","505","[c]","28110","23720"
"Leaver Dept.","2023","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Prison and Probation Service","735","[c]","39900","39550"
"Leaver Dept.","2023","HM Revenue and Customs (excl. agencies)","1330","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury (excl. agencies)","255","[c]","47530","39050"
"Leaver Dept.","2023","Health and Safety Executive","45","[c]","38400","33140"
"Leaver Dept.","2023","Home Office","1200","[c]","38460","32630"
"Leaver Dept.","2023","Institute for Apprenticeships and Technical Education","15","[c]","46090","46570"
"Leaver Dept.","2023","Intellectual Property Office","35","[c]","40240","34570"
"Leaver Dept.","2023","Legal Aid Agency","25","[c]","30610","25830"
"Leaver Dept.","2023","Maritime and Coastguard Agency","25","[c]","30820","27450"
"Leaver Dept.","2023","Medicines and Healthcare Products Regulatory Agency","20","[c]","52340","40850"
"Leaver Dept.","2023","Met Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence (excl. agencies)","575","[c]","36930","34300"
"Leaver Dept.","2023","Ministry of Justice (excl. agencies)","475","[c]","41830","38370"
"Leaver Dept.","2023","National Crime Agency","105","[c]","41990","39020"
"Leaver Dept.","2023","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Northern Ireland Office","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Standards in Education, Children's Services and Skills","45","[c]","42890","36330"
"Leaver Dept.","2023","Office of Gas and Electricity Markets","80","[c]","36710","33400"
"Leaver Dept.","2023","Office of Qualifications and Examinations Regulation","15","[c]","48070","39140"
"Leaver Dept.","2023","Office of Rail and Road","15","[c]","44920","46740"
"Leaver Dept.","2023","Office of the Public Guardian","50","[c]","26860","25120"
"Leaver Dept.","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","10","[c]","40510","38580"
"Leaver Dept.","2023","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Planning Inspectorate","15","[c]","39940","40720"
"Leaver Dept.","2023","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Registers of Scotland","15","[c]","45630","37710"
"Leaver Dept.","2023","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Royal Fleet Auxiliary","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Rural Payments Agency","65","[c]","25420","22150"
"Leaver Dept.","2023","Scottish Courts and Tribunals Service","30","[c]","30710","28540"
"Leaver Dept.","2023","Scottish Forestry","10","[c]","37950","32220"
"Leaver Dept.","2023","Scottish Government (excl. agencies)","50","[c]","46630","43870"
"Leaver Dept.","2023","Scottish Prison Service","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Serious Fraud Office","25","[c]","48970","47140"
"Leaver Dept.","2023","Social Security Scotland","20","[c]","33300","30440"
"Leaver Dept.","2023","Standards and Testing Agency","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Submarine Delivery Agency","15","[c]","40530","38790"
"Leaver Dept.","2023","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","The Insolvency Service","75","[c]","28690","24620"
"Leaver Dept.","2023","The National Archives","10","[c]","35020","35040"
"Leaver Dept.","2023","UK Export Finance","15","[c]","39230","34000"
"Leaver Dept.","2023","UK Health Security Agency","210","[c]","42810","37920"
"Leaver Dept.","2023","UK Hydrographic Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Space Agency","35","[c]","46340","41360"
"Leaver Dept.","2023","UK Statistics Authority","245","[c]","34660","31560"
"Leaver Dept.","2023","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Valuation Office Agency","90","[c]","29930","26020"
"Leaver Dept.","2023","Vehicle Certification Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Water Services Regulation Authority","10","[c]","50220","51630"
"Leaver Dept.","2023","Welsh Government (excl. agencies)","70","[c]","42720","38160"
"Leaver Dept.","2023","Welsh Revenue Authority","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Wilton Park","5","[c]","[c]","[c]"
"New entrant CS","2023","Accountant in Bankruptcy","15","[c]","24540","22180"
"New entrant CS","2023","Active Travel England","30","[c]","52100","40560"
"New entrant CS","2023","Advisory, Conciliation and Arbitration Service","50","[c]","29220","25160"
"New entrant CS","2023","Animal and Plant Health Agency","550","[c]","26780","25340"
"New entrant CS","2023","Attorney General's Office","10","[c]","26120","24280"
"New entrant CS","2023","Building Digital UK","45","[c]","36190","35040"
"New entrant CS","2023","Cabinet Office (excl. agencies)","555","[c]","37780","32640"
"New entrant CS","2023","Central Civil Service Fast Stream","495","[c]","28860","28840"
"New entrant CS","2023","Centre for Environment, Fisheries and Aquaculture Science","65","[c]","28810","25970"
"New entrant CS","2023","Charity Commission","80","[c]","32050","30170"
"New entrant CS","2023","Companies House","320","[c]","31300","25610"
"New entrant CS","2023","Competition and Markets Authority","160","[c]","44660","34110"
"New entrant CS","2023","Criminal Injuries Compensation Authority","40","[c]","23970","21780"
"New entrant CS","2023","Crown Commercial Service","45","[c]","33180","31640"
"New entrant CS","2023","Crown Office and Procurator Fiscal Service","205","[c]","29860","22180"
"New entrant CS","2023","Crown Prosecution Service","875","[c]","29760","24480"
"New entrant CS","2023","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Defence Equipment and Support","1265","[c]","32470","32500"
"New entrant CS","2023","Defence Science and Technology Laboratory","790","[c]","32160","30650"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","445","[c]","36690","34410"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","150","[c]","35280","35040"
"New entrant CS","2023","Department for Education (excl. agencies)","405","[c]","35400","30330"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","940","[c]","40190","37300"
"New entrant CS","2023","Department for International Trade","780","[c]","39380","36250"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","235","[c]","36270","33880"
"New entrant CS","2023","Department for Transport (excl. agencies)","320","[c]","37500","35400"
"New entrant CS","2023","Department for Work and Pensions (excl. agencies)","3375","[c]","28130","25610"
"New entrant CS","2023","Department of Health and Social Care (excl. agencies)","280","[c]","36040","34190"
"New entrant CS","2023","Disclosure Scotland","30","[c]","28060","22180"
"New entrant CS","2023","Driver and Vehicle Licensing Agency","645","[c]","22960","22500"
"New entrant CS","2023","Driver and Vehicle Standards Agency","605","[c]","27020","26780"
"New entrant CS","2023","Education Scotland","50","[c]","44460","41640"
"New entrant CS","2023","Education and Skills Funding Agency","25","[c]","36430","30330"
"New entrant CS","2023","Estyn","20","[c]","44630","30610"
"New entrant CS","2023","Food Standards Agency","165","[c]","32620","31110"
"New entrant CS","2023","Food Standards Scotland","20","[c]","34160","33520"
"New entrant CS","2023","Government Actuary's Department","25","[c]","43610","32940"
"New entrant CS","2023","Government Commercial Organisation","90","[c]","79560","70930"
"New entrant CS","2023","Government Internal Audit Agency","50","[c]","44890","42120"
"New entrant CS","2023","Government Legal Department","315","[c]","40330","38860"
"New entrant CS","2023","Government Property Agency","80","[c]","47810","41460"
"New entrant CS","2023","HM Courts and Tribunals Service","1720","[c]","23750","21780"
"New entrant CS","2023","HM Land Registry","360","[c]","28500","23390"
"New entrant CS","2023","HM Prison and Probation Service","11620","[c]","26340","24070"
"New entrant CS","2023","HM Revenue and Customs (excl. agencies)","4795","[c]","28070","22520"
"New entrant CS","2023","HM Treasury (excl. agencies)","265","[c]","30590","28500"
"New entrant CS","2023","Health and Safety Executive","320","[c]","33510","28030"
"New entrant CS","2023","Home Office","7790","[c]","26370","25750"
"New entrant CS","2023","Institute for Apprenticeships and Technical Education","55","[c]","37430","37710"
"New entrant CS","2023","Intellectual Property Office","80","[c]","41120","40020"
"New entrant CS","2023","Legal Aid Agency","85","[c]","22420","21780"
"New entrant CS","2023","Maritime and Coastguard Agency","185","[c]","30030","26780"
"New entrant CS","2023","Medicines and Healthcare Products Regulatory Agency","215","[c]","41730","33940"
"New entrant CS","2023","Met Office","265","[c]","29920","26650"
"New entrant CS","2023","Ministry of Defence (excl. agencies)","3465","[c]","31280","27140"
"New entrant CS","2023","Ministry of Justice (excl. agencies)","805","[c]","36200","35410"
"New entrant CS","2023","National Crime Agency","515","[c]","38170","36040"
"New entrant CS","2023","National Infrastructure Commission","5","[c]","[c]","[c]"
"New entrant CS","2023","National Records of Scotland","75","[c]","33520","29100"
"New entrant CS","2023","National Savings and Investments","35","[c]","45230","43380"
"New entrant CS","2023","Northern Ireland Office","10","[c]","38950","37680"
"New entrant CS","2023","Office for Budget Responsibility","5","[c]","[c]","[c]"
