"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","125","115","34020","31940"
"In post","2023","Active Travel England","50","50","52430","50240"
"In post","2023","Advisory, Conciliation and Arbitration Service","1010","930","34530","32110"
"In post","2023","Animal and Plant Health Agency","3095","2945","31320","29080"
"In post","2023","Attorney General's Office","50","50","50950","43000"
"In post","2023","Building Digital UK","230","225","46360","48100"
"In post","2023","Cabinet Office (excl. agencies)","5915","5740","47910","41870"
"In post","2023","Central Civil Service Fast Stream","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","655","625","35860","30820"
"In post","2023","Charity Commission","500","480","35830","30170"
"In post","2023","Companies House","1210","1130","32490","28070"
"In post","2023","Competition and Markets Authority","910","880","62230","58050"
"In post","2023","Criminal Injuries Compensation Authority","335","310","27980","25830"
"In post","2023","Crown Commercial Service","760","740","41590","40450"
"In post","2023","Crown Office and Procurator Fiscal Service","2450","2310","39960","33120"
"In post","2023","Crown Prosecution Service","7515","7040","41910","38350"
"In post","2023","Defence Electronics and Components Agency","445","430","29980","28710"
"In post","2023","Defence Equipment and Support","10720","10320","39350","38280"
"In post","2023","Defence Science and Technology Laboratory","4960","4780","42550","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","6285","6155","50330","50680"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","1710","1675","49330","52760"
"In post","2023","Department for Education (excl. agencies)","7160","6900","45830","42010"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","6340","6125","43690","40260"
"In post","2023","Department for International Trade","3535","3485","48520","43040"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","3255","3170","48060","47320"
"In post","2023","Department for Transport (excl. agencies)","3795","3695","50850","47420"
"In post","2023","Department for Work and Pensions (excl. agencies)","84945","75935","29460","28120"
"In post","2023","Department of Health and Social Care (excl. agencies)","3670","3540","49520","50830"
"In post","2023","Disclosure Scotland","365","345","31330","24890"
"In post","2023","Driver and Vehicle Licensing Agency","6230","5540","27370","22500"
"In post","2023","Driver and Vehicle Standards Agency","4900","4610","30260","27490"
"In post","2023","Education Scotland","360","350","59670","65280"
"In post","2023","Education and Skills Funding Agency","775","745","42650","38070"
"In post","2023","Estyn","125","115","60010","78500"
"In post","2023","FCDO Services","1115","1075","42150","38920"
"In post","2023","Food Standards Agency","1575","1530","38950","34810"
"In post","2023","Food Standards Scotland","290","280","38730","34730"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","7600","7465","50650","49960"
"In post","2023","Forestry and Land Scotland","1105","1065","34400","32220"
"In post","2023","Government Actuary's Department","215","200","68480","67430"
"In post","2023","Government Commercial Organisation","1490","1475","74430","67200"
"In post","2023","Government Internal Audit Agency","485","460","49740","47690"
"In post","2023","Government Legal Department","2675","2500","55770","53390"
"In post","2023","Government Property Agency","395","385","50340","51020"
"In post","2023","HM Courts and Tribunals Service","15830","14315","27800","25480"
"In post","2023","HM Crown Prosecution Service Inspectorate","25","25","63790","59780"
"In post","2023","HM Land Registry","6715","6095","32550","28080"
"In post","2023","HM Prison and Probation Service","65745","61965","32230","30810"
"In post","2023","HM Revenue and Customs (excl. agencies)","68395","63740","35310","34370"
"In post","2023","HM Treasury (excl. agencies)","2005","1970","47690","53550"
"In post","2023","Health and Safety Executive","2825","2680","43510","40790"
"In post","2023","Home Office","43125","40585","33140","27650"
"In post","2023","Institute for Apprenticeships and Technical Education","335","330","48630","51460"
"In post","2023","Intellectual Property Office","1695","1600","40930","41020"
"In post","2023","Legal Aid Agency","1185","1105","30750","25830"
"In post","2023","Maritime and Coastguard Agency","1200","1160","35500","31660"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","1175","1145","49830","42580"
"In post","2023","Met Office","2295","2185","39400","39650"
"In post","2023","Ministry of Defence (excl. agencies)","37330","36075","34980","32930"
"In post","2023","Ministry of Justice (excl. agencies)","7130","6950","43910","41510"
"In post","2023","National Crime Agency","5565","5415","42670","40440"
"In post","2023","National Infrastructure Commission","50","45","54810","53410"
"In post","2023","National Records of Scotland","455","430","38070","34730"
"In post","2023","National Savings and Investments","210","210","52300","47250"
"In post","2023","Northern Ireland Office","165","165","47360","43650"
"In post","2023","Office for Budget Responsibility","45","45","52070","54810"
"In post","2023","Office for Standards in Education, Children's Services and Skills","2040","1970","52270","52750"
"In post","2023","Office of Gas and Electricity Markets","1555","1535","45650","42850"
"In post","2023","Office of Qualifications and Examinations Regulation","345","335","44700","40220"
"In post","2023","Office of Rail and Road","370","355","55330","55990"
"In post","2023","Office of the Public Guardian","1650","1530","24680","21780"
"In post","2023","Office of the Scottish Charity Regulator","45","40","39790","33520"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","130","125","52030","52360"
"In post","2023","Office of the Secretary of State for Wales","45","45","48420","44090"
"In post","2023","Planning Inspectorate","885","805","46500","44910"
"In post","2023","Queen Elizabeth II Centre","40","40","42100","39000"
"In post","2023","Registers of Scotland","1185","1140","35760","32510"
"In post","2023","Revenue Scotland","85","85","43190","38330"
"In post","2023","Royal Fleet Auxiliary","1695","1695","41950","40010"
"In post","2023","Rural Payments Agency","2820","2605","27010","22150"
"In post","2023","Scottish Courts and Tribunals Service","1960","1790","30450","25060"
"In post","2023","Scottish Fiscal Commission","25","25","50710","49860"
"In post","2023","Scottish Forestry","220","210","38240","38210"
"In post","2023","Scottish Government (excl. agencies)","9175","8800","47100","42860"
"In post","2023","Scottish Housing Regulator","50","50","55540","51110"
