"Status","Year","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","10205","9535","45050","48080"
"In post","2022","Cabinet Office","11050","10845","46800","40580"
"In post","2022","Chancellor's other departments","425","405","58830","50000"
"In post","2022","Charity Commission","465","440","34000","29160"
"In post","2022","Competition and Markets Authority","860","835","61280","57000"
"In post","2022","Department for Business, Energy and Industrial Strategy","14075","13505","41540","39650"
"In post","2022","Department for Digital, Culture, Media and Sport","2010","1980","46970","51730"
"In post","2022","Department for Education","8695","8395","43560","40230"
"In post","2022","Department for Environment, Food and Rural Affairs","12785","12165","35790","32560"
"In post","2022","Department for International Trade","2880","2850","46590","42310"
"In post","2022","Department for Levelling Up, Housing and Communities","4155","4005","45140","40720"
"In post","2022","Department for Transport","16390","15245","33220","26840"
"In post","2022","Department for Work and Pensions","94155","84655","28510","27570"
"In post","2022","Department of Health and Social Care","11810","11195","45200","40470"
"In post","2022","Estyn","115","105","59220","75480"
"In post","2022","Food Standards Agency","1455","1415","37600","32830"
"In post","2022","Foreign, Commonwealth and Development Office","8245","8060","47890","44030"
"In post","2022","HM Land Registry","6635","6040","31310","27130"
"In post","2022","HM Revenue and Customs","71365","66325","33400","30750"
"In post","2022","HM Treasury","2770","2690","48300","49200"
"In post","2022","Home Office","36535","34230","32660","28650"
"In post","2022","Ministry of Defence","57825","55905","34720","33000"
"In post","2022","Ministry of Justice","86900","81480","30460","27960"
"In post","2022","National Crime Agency","5545","5405","40690","37860"
"In post","2022","Northern Ireland Office","175","175","46380","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","1830","1760","50310","51360"
"In post","2022","Office of Gas and Electricity Markets","1350","1325","43480","37120"
"In post","2022","Office of Qualifications and Examinations Regulation","290","280","44640","40190"
"In post","2022","Office of Rail and Road","350","335","54060","54890"
"In post","2022","Office of the Secretary of State for Scotland","120","115","48480","47490"
"In post","2022","Office of the Secretary of State for Wales","45","45","44720","38570"
"In post","2022","Scottish Government","25325","24090","37340","33070"
"In post","2022","The National Archives","575","555","35710","33500"
"In post","2022","UK Export Finance","495","490","52780","48000"
"In post","2022","UK Statistics Authority","5885","5270","33790","30710"
"In post","2022","UK Supreme Court","50","50","38660","31960"
"In post","2022","Water Services Regulation Authority","260","250","54620","48720"
"In post","2022","Welsh Government","5965","5640","41950","38160"
"Leaver CS","2022","Attorney General's Departments","665","[c]","44100","43920"
"Leaver CS","2022","Cabinet Office","820","[c]","49550","40600"
"Leaver CS","2022","Chancellor's other departments","55","[c]","51500","45580"
"Leaver CS","2022","Charity Commission","60","[c]","35540","29230"
"Leaver CS","2022","Competition and Markets Authority","95","[c]","52500","53530"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","835","[c]","38560","34500"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","155","[c]","41960","36000"
"Leaver CS","2022","Department for Education","455","[c]","41810","36780"
