"Status","Year","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","10730","10065","45750","49050"
"In post","2023","Cabinet Office","10220","10000","48600","41740"
"In post","2023","Chancellor's other departments","425","410","60450","51510"
"In post","2023","Charity Commission","500","480","35830","30170"
"In post","2023","Competition and Markets Authority","910","880","62230","58050"
"In post","2023","Department for Business, Energy and Industrial Strategy","14415","13830","43100","41060"
"In post","2023","Department for Digital, Culture, Media and Sport","1940","1905","48980","52760"
"In post","2023","Department for Education","8485","8180","45480","41590"
"In post","2023","Department for Environment, Food and Rural Affairs","13070","12455","36760","33830"
"In post","2023","Department for International Trade","3535","3485","48520","43040"
"In post","2023","Department for Levelling Up, Housing and Communities","4180","4015","47670","46480"
"In post","2023","Department for Transport","16385","15255","34470","27520"
"In post","2023","Department for Work and Pensions","87770","78610","29910","28120"
"In post","2023","Department of Health and Social Care","10265","9820","47800","41950"
"In post","2023","Estyn","125","115","60010","78500"
"In post","2023","Food Standards Agency","1575","1530","38950","34810"
"In post","2023","Foreign, Commonwealth and Development Office","8800","8620","49440","45740"
"In post","2023","HM Land Registry","6715","6095","32550","28080"
"In post","2023","HM Revenue and Customs","72380","67475","35330","32580"
"In post","2023","HM Treasury","2705","2630","48900","51350"
"In post","2023","Home Office","43125","40585","33140","27650"
"In post","2023","Ministry of Defence","58180","56235","36930","33990"
"In post","2023","Ministry of Justice","91875","86175","32200","30410"
"In post","2023","National Crime Agency","5565","5415","42670","40440"
"In post","2023","Northern Ireland Office","165","165","47360","43650"
"In post","2023","Office for Standards in Education, Children's Services and Skills","2040","1970","52270","52750"
"In post","2023","Office of Gas and Electricity Markets","1555","1535","45650","42850"
"In post","2023","Office of Qualifications and Examinations Regulation","345","335","44700","40220"
"In post","2023","Office of Rail and Road","370","355","55330","55990"
"In post","2023","Office of the Secretary of State for Scotland","130","125","52030","52360"
"In post","2023","Office of the Secretary of State for Wales","45","45","48420","44090"
"In post","2023","Scottish Government","27625","26260","39310","34730"
"In post","2023","The National Archives","590","560","37440","34940"
"In post","2023","UK Export Finance","520","515","54840","51510"
"In post","2023","UK Statistics Authority","6130","5510","35460","31560"
"In post","2023","UK Supreme Court","55","55","38100","33450"
"In post","2023","Water Services Regulation Authority","265","255","56510","50260"
"In post","2023","Welsh Government","6050","5720","43770","39690"
"Leaver CS","2023","Attorney General's Departments","800","[c]","43850","40800"
"Leaver CS","2023","Cabinet Office","1135","[c]","48240","40600"
"Leaver CS","2023","Chancellor's other departments","65","[c]","53670","43750"
"Leaver CS","2023","Charity Commission","50","[c]","33010","30170"
"Leaver CS","2023","Competition and Markets Authority","120","[c]","54530","53530"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","1140","[c]","41550","40050"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","240","[c]","45170","39620"
"Leaver CS","2023","Department for Education","545","[c]","43100","38210"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","1125","[c]","28640","25920"
"Leaver CS","2023","Department for International Trade","260","[c]","41500","38160"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","390","[c]","42450","37540"
"Leaver CS","2023","Department for Transport","1650","[c]","31000","26780"
"Leaver CS","2023","Department for Work and Pensions","8425","[c]","28130","27570"
"Leaver CS","2023","Department of Health and Social Care","2630","[c]","41740","36330"
"Leaver CS","2023","Estyn","15","[c]","46230","30610"
"Leaver CS","2023","Food Standards Agency","95","[c]","37200","31260"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","435","[c]","36810","32750"
"Leaver CS","2023","HM Land Registry","495","[c]","34270","31680"
"Leaver CS","2023","HM Revenue and Customs","4585","[c]","35180","29440"
"Leaver CS","2023","HM Treasury","365","[c]","44270","39050"
"Leaver CS","2023","Home Office","2520","[c]","32670","26750"
"Leaver CS","2023","Ministry of Defence","5190","[c]","35140","32550"
"Leaver CS","2023","Ministry of Justice","10025","[c]","29430","23720"
"Leaver CS","2023","National Crime Agency","370","[c]","42290","38980"
"Leaver CS","2023","Northern Ireland Office","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","235","[c]","54560","52750"
"Leaver CS","2023","Office of Gas and Electricity Markets","260","[c]","44840","38900"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","25","[c]","51300","39140"
"Leaver CS","2023","Office of Rail and Road","35","[c]","53470","55410"
"Leaver CS","2023","Office of the Secretary of State for Scotland","15","[c]","36420","29660"
"Leaver CS","2023","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Government","1715","[c]","36220","31940"
"Leaver CS","2023","The National Archives","90","[c]","33050","29840"
"Leaver CS","2023","UK Export Finance","75","[c]","53250","42000"
"Leaver CS","2023","UK Statistics Authority","695","[c]","29850","23670"
"Leaver CS","2023","UK Supreme Court","20","[c]","36820","37230"
"Leaver CS","2023","Water Services Regulation Authority","40","[c]","48110","45420"
"Leaver CS","2023","Welsh Government","210","[c]","41730","38160"
"Leaver Dept.","2023","Attorney General's Departments","280","[c]","43720","38940"
"Leaver Dept.","2023","Cabinet Office","1710","[c]","41200","34550"
"Leaver Dept.","2023","Chancellor's other departments","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","20","[c]","31180","29260"
"Leaver Dept.","2023","Competition and Markets Authority","35","[c]","46250","36960"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","710","[c]","41680","40050"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","245","[c]","45500","38280"
"Leaver Dept.","2023","Department for Education","540","[c]","43540","38210"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","585","[c]","27290","24920"
"Leaver Dept.","2023","Department for International Trade","220","[c]","42810","38160"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","460","[c]","42230","36340"
"Leaver Dept.","2023","Department for Transport","600","[c]","35740","31660"
"Leaver Dept.","2023","Department for Work and Pensions","2740","[c]","30240","28120"
"Leaver Dept.","2023","Department of Health and Social Care","635","[c]","43590","37920"
"Leaver Dept.","2023","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","60","[c]","39210","37460"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","235","[c]","35860","31300"
"Leaver Dept.","2023","HM Revenue and Customs","1420","[c]","29930","26020"
"Leaver Dept.","2023","HM Treasury","285","[c]","47430","39200"
"Leaver Dept.","2023","Home Office","1200","[c]","38460","32630"
"Leaver Dept.","2023","Ministry of Defence","720","[c]","37570","35440"
"Leaver Dept.","2023","Ministry of Justice","1805","[c]","34150","30450"
"Leaver Dept.","2023","National Crime Agency","105","[c]","41990","39020"
"Leaver Dept.","2023","Northern Ireland Office","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Office for Standards in Education, Children's Services and Skills","45","[c]","42890","36330"
"Leaver Dept.","2023","Office of Gas and Electricity Markets","80","[c]","36710","33400"
"Leaver Dept.","2023","Office of Qualifications and Examinations Regulation","15","[c]","48070","39140"
"Leaver Dept.","2023","Office of Rail and Road","15","[c]","44920","46740"
"Leaver Dept.","2023","Office of the Secretary of State for Scotland","10","[c]","40510","38580"
"Leaver Dept.","2023","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Scottish Government","175","[c]","40380","35050"
"Leaver Dept.","2023","The National Archives","10","[c]","35020","35040"
"Leaver Dept.","2023","UK Export Finance","15","[c]","39230","34000"
"Leaver Dept.","2023","UK Statistics Authority","245","[c]","34660","31560"
"Leaver Dept.","2023","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Water Services Regulation Authority","10","[c]","50220","51630"
"Leaver Dept.","2023","Welsh Government","75","[c]","43590","38160"
"New entrant CS","2023","Attorney General's Departments","1270","[c]","32940","27760"
