"Status","Year","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","4770","4465","34950","31280"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","9295","8800","35440","32380"
"In post","2023","Cheshire","4500","4235","34230","32030"
"In post","2023","Cornwall and Isles of Scilly","1725","1570","29020","27740"
"In post","2023","Cumbria","2470","2265","30170","26000"
"In post","2023","Derbyshire and Nottinghamshire","14355","13390","33420","28880"
"In post","2023","Devon","9540","8795","33560","30190"
"In post","2023","Dorset and Somerset","5570","5180","32330","28880"
"In post","2023","East Anglia","13070","12150","32230","28880"
"In post","2023","East Wales","21275","20035","35880","31390"
"In post","2023","East Yorkshire and Northern Lincolnshire","5075","4650","30230","28120"
"In post","2023","Eastern Scotland","21710","20510","38040","33520"
"In post","2023","Essex","4545","4195","31720","30560"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","30555","29070","38890","35000"
"In post","2023","Greater Manchester","22305","21115","34170","29440"
"In post","2023","Hampshire and Isle of Wight","15870","14700","34720","31060"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","4120","3840","30830","28120"
"In post","2023","Highlands and Islands","2035","1905","31440","28120"
"In post","2023","Inner London - East","18735","17930","44340","39450"
"In post","2023","Inner London - West","59185","57570","49650","45320"
"In post","2023","Kent","9080","8515","31150","28880"
"In post","2023","Lancashire","14920","13645","30900","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","6195","5690","29770","28120"
"In post","2023","Lincolnshire","3080","2895","30740","28120"
"In post","2023","Merseyside","22915","21255","30810","27890"
"In post","2023","North Eastern Scotland","1910","1785","38500","32840"
"In post","2023","North Yorkshire","4810","4570","34520","30370"
"In post","2023","Northern Ireland","4550","4315","31070","27890"
"In post","2023","Northumberland, and Tyne and Wear","23640","21520","31770","28120"
"In post","2023","Outer London - East and North East","4250","3930","32860","32520"
"In post","2023","Outer London - South","12345","11745","40230","36180"
"In post","2023","Outer London - West and North West","9220","8615","35240","32520"
"In post","2023","Overseas","3515","3500","53450","53650"
"In post","2023","Shropshire and Staffordshire","9370","8805","33590","30180"
"In post","2023","South Yorkshire","11325","10445","33610","28880"
"In post","2023","Southern Scotland","6215","5690","31800","28120"
"In post","2023","Surrey, East and West Sussex","8785","8075","33370","29080"
"In post","2023","Tees Valley and Durham","10620","9740","30890","28120"
"In post","2023","Unknown","2710","2660","39690","37360"
"In post","2023","West Central Scotland","21625","20225","33800","29100"
"In post","2023","West Midlands","20955","19475","32760","28120"
"In post","2023","West Wales and The Valleys","17380","15845","30460","28080"
"In post","2023","West Yorkshire","19650","18355","34340","29730"
"Leaver CS","2023","Bedfordshire and Hertfordshire","560","[c]","33060","29290"
"Leaver CS","2023","Berkshire, Buckinghamshire and Oxfordshire","1140","[c]","34310","29290"
"Leaver CS","2023","Cheshire","395","[c]","32100","28120"
"Leaver CS","2023","Cornwall and Isles of Scilly","165","[c]","29050","26670"
"Leaver CS","2023","Cumbria","215","[c]","30620","26410"
"Leaver CS","2023","Derbyshire and Nottinghamshire","1260","[c]","31050","27570"
"Leaver CS","2023","Devon","890","[c]","31850","27570"
"Leaver CS","2023","Dorset and Somerset","560","[c]","30550","27570"
"Leaver CS","2023","East Anglia","1330","[c]","31490","27570"
"Leaver CS","2023","East Wales","1540","[c]","33660","28120"
"Leaver CS","2023","East Yorkshire and Northern Lincolnshire","400","[c]","28510","27470"
"Leaver CS","2023","Eastern Scotland","1610","[c]","34590","28600"
"Leaver CS","2023","Essex","620","[c]","32030","29290"
"Leaver CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","2870","[c]","35920","32550"
"Leaver CS","2023","Greater Manchester","1920","[c]","31040","26940"
"Leaver CS","2023","Hampshire and Isle of Wight","1765","[c]","31520","27140"
"Leaver CS","2023","Herefordshire, Worcestershire and Warwickshire","475","[c]","27730","26110"
"Leaver CS","2023","Highlands and Islands","190","[c]","27730","26220"
"Leaver CS","2023","Inner London - East","2105","[c]","44330","36940"
"Leaver CS","2023","Inner London - West","6040","[c]","45830","40880"
"Leaver CS","2023","Kent","820","[c]","30140","27650"
"Leaver CS","2023","Lancashire","1060","[c]","29250","24530"
"Leaver CS","2023","Leicestershire, Rutland and Northamptonshire","730","[c]","26970","25120"
"Leaver CS","2023","Lincolnshire","325","[c]","28650","27570"
"Leaver CS","2023","Merseyside","1490","[c]","28680","25880"
"Leaver CS","2023","North Eastern Scotland","160","[c]","35180","30000"
"Leaver CS","2023","North Yorkshire","420","[c]","32090","27230"
"Leaver CS","2023","Northern Ireland","270","[c]","29520","22970"
"Leaver CS","2023","Northumberland, and Tyne and Wear","1565","[c]","30170","25880"
"Leaver CS","2023","Outer London - East and North East","490","[c]","31210","31060"
"Leaver CS","2023","Outer London - South","890","[c]","37950","32520"
"Leaver CS","2023","Outer London - West and North West","1010","[c]","33350","31060"
"Leaver CS","2023","Overseas","150","[c]","50500","47000"
"Leaver CS","2023","Shropshire and Staffordshire","955","[c]","28200","27450"
"Leaver CS","2023","South Yorkshire","745","[c]","31450","26780"
"Leaver CS","2023","Southern Scotland","460","[c]","29700","27570"
"Leaver CS","2023","Surrey, East and West Sussex","1030","[c]","30430","27570"
"Leaver CS","2023","Tees Valley and Durham","875","[c]","28410","23390"
"Leaver CS","2023","Unknown","420","[c]","35740","32000"
"Leaver CS","2023","West Central Scotland","1475","[c]","31560","27570"
"Leaver CS","2023","West Midlands","1695","[c]","31610","27000"
"Leaver CS","2023","West Wales and The Valleys","1280","[c]","27060","22500"
"Leaver CS","2023","West Yorkshire","1715","[c]","34780","28120"
"Leaver Dept.","2023","Bedfordshire and Hertfordshire","75","[c]","33470","31280"
"Leaver Dept.","2023","Berkshire, Buckinghamshire and Oxfordshire","135","[c]","32940","29460"
"Leaver Dept.","2023","Cheshire","105","[c]","30830","27570"
"Leaver Dept.","2023","Cornwall and Isles of Scilly","15","[c]","28630","27840"
"Leaver Dept.","2023","Cumbria","25","[c]","27050","26220"
"Leaver Dept.","2023","Derbyshire and Nottinghamshire","240","[c]","31820","28120"
"Leaver Dept.","2023","Devon","145","[c]","29410","27140"
"Leaver Dept.","2023","Dorset and Somerset","55","[c]","32100","28120"
"Leaver Dept.","2023","East Anglia","170","[c]","31400","28120"
"Leaver Dept.","2023","East Wales","530","[c]","35440","31350"
"Leaver Dept.","2023","East Yorkshire and Northern Lincolnshire","40","[c]","34800","28120"
"Leaver Dept.","2023","Eastern Scotland","440","[c]","31980","27570"
"Leaver Dept.","2023","Essex","60","[c]","31070","28070"
"Leaver Dept.","2023","Gloucestershire, Wiltshire and Bath/Bristol area","540","[c]","39320","36170"
"Leaver Dept.","2023","Greater Manchester","750","[c]","33700","30260"
"Leaver Dept.","2023","Hampshire and Isle of Wight","245","[c]","33520","31060"
"Leaver Dept.","2023","Herefordshire, Worcestershire and Warwickshire","55","[c]","29730","27570"
"Leaver Dept.","2023","Highlands and Islands","15","[c]","31970","28850"
"Leaver Dept.","2023","Inner London - East","735","[c]","41280","34900"
"Leaver Dept.","2023","Inner London - West","5205","[c]","44980","40050"
"Leaver Dept.","2023","Kent","160","[c]","28900","29290"
"Leaver Dept.","2023","Lancashire","210","[c]","31180","28120"
"Leaver Dept.","2023","Leicestershire, Rutland and Northamptonshire","90","[c]","25420","22400"
"Leaver Dept.","2023","Lincolnshire","35","[c]","26680","27500"
"Leaver Dept.","2023","Merseyside","510","[c]","29580","27570"
"Leaver Dept.","2023","North Eastern Scotland","15","[c]","31390","27840"
"Leaver Dept.","2023","North Yorkshire","130","[c]","35610","33020"
"Leaver Dept.","2023","Northern Ireland","75","[c]","27610","26750"
"Leaver Dept.","2023","Northumberland, and Tyne and Wear","640","[c]","30390","28120"
"Leaver Dept.","2023","Outer London - East and North East","95","[c]","31730","32520"
"Leaver Dept.","2023","Outer London - South","310","[c]","40720","36090"
"Leaver Dept.","2023","Outer London - West and North West","180","[c]","33520","32520"
"Leaver Dept.","2023","Overseas","55","[c]","44730","41200"
"Leaver Dept.","2023","Shropshire and Staffordshire","195","[c]","27580","27040"
"Leaver Dept.","2023","South Yorkshire","290","[c]","34080","30330"
"Leaver Dept.","2023","Southern Scotland","135","[c]","28760","27570"
"Leaver Dept.","2023","Surrey, East and West Sussex","145","[c]","32950","28120"
"Leaver Dept.","2023","Tees Valley and Durham","225","[c]","33150","28120"
"Leaver Dept.","2023","Unknown","155","[c]","34080","32000"
"Leaver Dept.","2023","West Central Scotland","520","[c]","29030","27570"
"Leaver Dept.","2023","West Midlands","645","[c]","33070","28120"
"Leaver Dept.","2023","West Wales and The Valleys","355","[c]","30770","28120"
"Leaver Dept.","2023","West Yorkshire","610","[c]","34070","30450"
"New entrant CS","2023","Bedfordshire and Hertfordshire","545","[c]","29000","25880"
"New entrant CS","2023","Berkshire, Buckinghamshire and Oxfordshire","955","[c]","30490","28120"
"New entrant CS","2023","Cheshire","520","[c]","30460","28880"
"New entrant CS","2023","Cornwall and Isles of Scilly","130","[c]","30590","23640"
"New entrant CS","2023","Cumbria","325","[c]","27190","22150"
"New entrant CS","2023","Derbyshire and Nottinghamshire","1605","[c]","27700","23640"
"New entrant CS","2023","Devon","980","[c]","28610","25920"
"New entrant CS","2023","Dorset and Somerset","600","[c]","27830","25830"
"New entrant CS","2023","East Anglia","1465","[c]","28020","24570"
"New entrant CS","2023","East Wales","2220","[c]","29660","25750"
"New entrant CS","2023","East Yorkshire and Northern Lincolnshire","520","[c]","26680","26910"
"New entrant CS","2023","Eastern Scotland","2515","[c]","31980","29100"
"New entrant CS","2023","Essex","490","[c]","26870","23640"
"New entrant CS","2023","Gloucestershire, Wiltshire and Bath/Bristol area","3585","[c]","31900","28120"
"New entrant CS","2023","Greater Manchester","2515","[c]","30010","25880"
"New entrant CS","2023","Hampshire and Isle of Wight","2090","[c]","29040","26170"
"New entrant CS","2023","Herefordshire, Worcestershire and Warwickshire","425","[c]","26950","23640"
"New entrant CS","2023","Highlands and Islands","200","[c]","26810","23190"
"New entrant CS","2023","Inner London - East","1930","[c]","38020","33800"
"New entrant CS","2023","Inner London - West","5195","[c]","37540","33880"
"New entrant CS","2023","Kent","1285","[c]","26740","25750"
"New entrant CS","2023","Lancashire","1175","[c]","27190","23640"
"New entrant CS","2023","Leicestershire, Rutland and Northamptonshire","815","[c]","25490","23230"
"New entrant CS","2023","Lincolnshire","390","[c]","28550","26910"
"New entrant CS","2023","Merseyside","2910","[c]","25010","22400"
"New entrant CS","2023","North Eastern Scotland","155","[c]","30040","29100"
"New entrant CS","2023","North Yorkshire","580","[c]","31050","27060"
"New entrant CS","2023","Northern Ireland","545","[c]","27200","22520"
"New entrant CS","2023","Northumberland, and Tyne and Wear","1820","[c]","28630","23640"
"New entrant CS","2023","Outer London - East and North East","305","[c]","31470","30780"
"New entrant CS","2023","Outer London - South","1195","[c]","31470","29750"
"New entrant CS","2023","Outer London - West and North West","1125","[c]","31560","29750"
"New entrant CS","2023","Overseas","70","[c]","48110","45690"
"New entrant CS","2023","Shropshire and Staffordshire","1120","[c]","30960","28480"
"New entrant CS","2023","South Yorkshire","1545","[c]","27490","25750"
"New entrant CS","2023","Southern Scotland","600","[c]","25600","22520"
"New entrant CS","2023","Surrey, East and West Sussex","1015","[c]","31070","27650"
"New entrant CS","2023","Tees Valley and Durham","1505","[c]","28150","25750"
"New entrant CS","2023","Unknown","360","[c]","26600","23620"
"New entrant CS","2023","West Central Scotland","3175","[c]","28770","25080"
"New entrant CS","2023","West Midlands","2550","[c]","27940","23230"
"New entrant CS","2023","West Wales and The Valleys","1445","[c]","25250","22500"
"New entrant CS","2023","West Yorkshire","2255","[c]","29320","25830"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Region_ITL2","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","",""
"","ITL 2 divides into Northern Ireland, counties in England (most grouped), groups of districts in Greater London, groups of unitary authorities in Wales, groups of council areas in Scotland.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
