"Status","Year","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","9835","9175","45080","48080"
"In post","2021","Cabinet Office","9455","9275","46670","38230"
"In post","2021","Chancellor's other departments","405","390","58670","49690"
"In post","2021","Charity Commission","440","415","34850","29160"
"In post","2021","Competition and Markets Authority","840","815","60550","56360"
"In post","2021","Department for Business, Energy and Industrial Strategy","13160","12625","41160","39490"
"In post","2021","Department for Digital, Culture, Media and Sport","1780","1745","49140","51730"
"In post","2021","Department for Education","7930","7655","43800","40230"
"In post","2021","Department for Environment, Food and Rural Affairs","11040","10475","36010","32560"
"In post","2021","Department for International Trade","2690","2660","45830","39930"
"In post","2021","Department for Transport","15970","14815","32910","26780"
"In post","2021","Department for Work and Pensions","93525","83835","28080","27570"
"In post","2021","Department of Health and Social Care","11755","11035","45220","40070"
"In post","2021","ESTYN","115","105","58000","74730"
"In post","2021","Food Standards Agency","1310","1275","37260","32830"
"In post","2021","Foreign, Commonwealth and Development Office","8635","8450","47410","42760"
"In post","2021","HM Land Registry","6350","5765","31090","27130"
"In post","2021","HM Revenue and Customs","66480","61090","31310","27400"
"In post","2021","HM Treasury","2670","2605","48130","48780"
"In post","2021","Home Office","35375","32875","31970","27370"
"In post","2021","Ministry of Defence","57680","55795","34080","32670"
"In post","2021","Ministry of Housing, Communities and Local Government","3400","3265","45280","41350"
"In post","2021","Ministry of Justice","78895","73960","29680","26810"
"In post","2021","National Crime Agency","5485","5355","40070","37560"
"In post","2021","Northern Ireland Office","160","160","43930","37690"
"In post","2021","Office for Standards in Education","1780","1715","49320","51360"
"In post","2021","Office of Gas and Electricity Markets","1180","1160","44810","38550"
"In post","2021","Office of Qualifications and Examinations Regulation","260","250","45520","40580"
"In post","2021","Office of Rail and Road","330","315","54170","55210"
"In post","2021","Other Cabinet Office Agencies","995","970","40180","35420"
"In post","2021","Scotland Office","115","110","47990","46600"
"In post","2021","Scottish Government","22230","21035","36580","33620"
"In post","2021","The National Archives","545","515","35580","33330"
"In post","2021","UK Export Finance","400","390","53500","48830"
