"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","1060","985","33090","30950"
"In post","2021","Animal and Plant Health Agency","2680","2530","30660","27960"
"In post","2021","Attorney General's Office","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","9455","9275","46670","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","615","580","34090","29750"
"In post","2021","Charity Commission","440","415","34850","29160"
"In post","2021","Companies House","1100","1015","30780","25460"
"In post","2021","Competition and Markets Authority","840","815","60550","56360"
"In post","2021","Criminal Injuries Compensation Authority","305","280","26120","22640"
"In post","2021","Crown Commercial Service","785","765","37780","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","2020","1875","35720","29040"
"In post","2021","Crown Prosecution Service","6745","6270","41360","38000"
"In post","2021","Crown Prosecution Service Inspectorate","25","25","55650","58690"
"In post","2021","Debt Management Office","115","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","440","420","28410","28110"
"In post","2021","Defence Equipment and Support","10700","10335","36390","33740"
"In post","2021","Defence Science and Technology Laboratory","4380","4220","40430","37410"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","5325","5210","48890","49420"
"In post","2021","Department for Digital, Culture, Media and Sport","1780","1745","49140","51730"
"In post","2021","Department for Education (excl. agencies)","5700","5495","44380","40510"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","5405","5210","42470","38080"
"In post","2021","Department for International Trade","2690","2660","45830","39930"
"In post","2021","Department for Transport (excl. agencies)","3515","3420","47760","43360"
"In post","2021","Department for Work and Pensions (excl. agencies)","90950","81415","27650","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","3520","3435","46710","40650"
"In post","2021","Disclosure Scotland","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","6225","5490","26100","21590"
"In post","2021","Driver and Vehicle Standards Agency","4790","4515","29660","26780"
"In post","2021","Education and Skills Funding Agency","1815","1760","41880","37100"
"In post","2021","Education Scotland","315","300","55840","61010"
"In post","2021","ESTYN","115","105","58000","74730"
"In post","2021","FCDO Services","1075","1035","40360","37360"
"In post","2021","Food Standards Agency","1310","1275","37260","32830"
"In post","2021","Food Standards Scotland","250","245","35100","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","7475","7330","48580","44770"
"In post","2021","Forestry and Land Scotland","990","955","31490","29140"
"In post","2021","Government Actuary's Department","210","195","65530","57680"
"In post","2021","Government Internal Audit Agency","460","435","48630","46360"
"In post","2021","Government Legal Department","2530","2355","54560","52080"
"In post","2021","Government Property Agency","210","205","49220","49700"
"In post","2021","Health and Safety Executive","2575","2420","43280","41000"
"In post","2021","HM Courts and Tribunals Service","16605","15010","24730","21180"
"In post","2021","HM Land Registry","6350","5765","31090","27130"
"In post","2021","HM Prison and Probation Service","54035","51030","30220","28300"
"In post","2021","HM Revenue and Customs (excl. agencies)","62940","57810","31180","27230"
"In post","2021","HM Treasury (excl. agencies)","2020","1980","47240","52500"
"In post","2021","Home Office (incl. agencies)","35375","32875","31970","27370"
"In post","2021","Insolvency Service","1810","1725","32680","29320"
"In post","2021","Institute for Apprenticeships and Technical Education","215","210","49250","50470"
"In post","2021","Legal Aid Agency","1190","1120","28460","22570"
"In post","2021","Maritime and Coastguard Agency","1230","1185","37070","32250"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","1325","1285","48110","41080"
"In post","2021","Met Office","2095","2005","40090","39650"
"In post","2021","Ministry of Defence (excl. agencies)","37700","36435","32210","28670"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","2505","2440","45980","41780"
"In post","2021","Ministry of Justice (excl. agencies)","5345","5205","41980","36800"
"In post","2021","National Crime Agency","5485","5355","40070","37560"
"In post","2021","National Infrastructure Commission","45","40","53900","52360"
"In post","2021","National Records of Scotland","435","410","34520","32140"
"In post","2021","National Savings and Investments","200","195","51470","45880"
"In post","2021","Northern Ireland Office","160","160","43930","37690"
"In post","2021","Office for Budget Responsibility","35","35","51010","54690"
"In post","2021","Office for Standards in Education, Children's Services and Skills","1780","1715","49320","51360"
"In post","2021","Office of Gas and Electricity Markets","1180","1160","44810","38550"
"In post","2021","Office of Qualifications and Examinations Regulation","260","250","45520","40580"
"In post","2021","Office of Rail and Road","330","315","54170","55210"
"In post","2021","Office of the Public Guardian","1415","1315","22070","19930"
"In post","2021","Office of the Scottish Charity Regulator","50","45","37670","33620"
"In post","2021","Planning Inspectorate","855","780","43430","42500"
"In post","2021","Public Health England","6910","6315","43900","38200"
"In post","2021","Queen Elizabeth II Centre","40","40","41060","34720"
"In post","2021","Registers of Scotland","1160","1115","32880","30080"
"In post","2021","Revenue Scotland","55","55","43440","38540"
"In post","2021","Royal Fleet Auxiliary","1835","1835","37620","34460"
"In post","2021","Rural Payments Agency","2175","1990","26590","24920"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","115","110","47990","46600"
"In post","2021","Scottish Courts and Tribunals Service","1800","1630","27930","22820"
"In post","2021","Scottish Fiscal Commission","20","20","47760","46600"
"In post","2021","Scottish Forestry","190","180","35290","35330"
"In post","2021","Scottish Government (excl. agencies)","7815","7490","43090","38540"
"In post","2021","Scottish Housing Regulator","50","45","54160","52480"
"In post","2021","Scottish Prison Service","4485","4205","31750","33650"
"In post","2021","Scottish Public Pensions Agency","285","260","29650","26160"
