"Status","Year","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","1910","1785","38500","32840"
"In post","2023","Angus and Dundee City","2530","2375","29260","28120"
"In post","2023","Antrim and Newtownabbey","215","210","27290","22970"
"In post","2023","Ards and North Down","225","220","27610","22500"
"In post","2023","Armagh City, Banbridge and Craigavon","20","20","34600","33020"
"In post","2023","Barking & Dagenham and Havering","635","580","33220","32520"
"In post","2023","Barnet","1685","1595","41710","34390"
"In post","2023","Barnsley, Doncaster and Rotherham","3060","2750","29710","28120"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","13920","13330","40380","38790"
"In post","2023","Bedford","905","845","32230","30750"
"In post","2023","Belfast","3320","3125","32060","28130"
"In post","2023","Berkshire","2845","2700","36220","32520"
"In post","2023","Bexley and Greenwich","1745","1660","34320","32520"
"In post","2023","Birmingham","13780","12920","33180","28130"
"In post","2023","Blackburn with Darwen","395","360","29230","28120"
"In post","2023","Blackpool","5495","5050","31680","28120"
"In post","2023","Bournemouth, Christchurch and Poole","770","700","29380","28010"
"In post","2023","Bradford","2795","2495","27190","23640"
"In post","2023","Breckland and South Norfolk","560","525","32280","29890"
"In post","2023","Brent","555","510","33320","32520"
"In post","2023","Bridgend and Neath Port Talbot","745","675","29570","28120"
"In post","2023","Brighton and Hove","680","620","34330","28200"
"In post","2023","Bristol, City of","6810","6385","37410","33850"
"In post","2023","Bromley","630","580","33520","32520"
"In post","2023","Buckinghamshire","1710","1620","34970","32380"
"In post","2023","Caithness and Sutherland, and Ross and Cromarty","215","195","31830","29560"
"In post","2023","Calderdale and Kirklees","1075","965","30260","28120"
"In post","2023","Cambridgeshire CC","3465","3300","35470","33120"
"In post","2023","Camden and City of London","1750","1665","39880","30950"
"In post","2023","Cardiff and Vale of Glamorgan","12465","11740","36510","32050"
"In post","2023","Causeway Coast and Glens","75","75","24140","22130"
"In post","2023","Central Bedfordshire","455","435","33260","29570"
"In post","2023","Central Hampshire","4530","4370","38940","35490"
"In post","2023","Central Valleys","3180","2960","32250","28120"
"In post","2023","Cheshire East","1305","1220","32650","28880"
"In post","2023","Cheshire West and Chester","530","490","30280","28120"
"In post","2023","Chorley and West Lancashire","1545","1440","32770","30940"
"In post","2023","City of Edinburgh","14145","13520","41540","36990"
"In post","2023","Clackmannanshire and Fife","1260","1175","33360","30180"
"In post","2023","Conwy and Denbighshire","725","675","36890","32050"
"In post","2023","Cornwall and Isles of Scilly","1725","1570","29020","27740"
"In post","2023","Coventry","2515","2380","38210","34850"
"In post","2023","Croydon","11040","10530","40900","36180"
"In post","2023","Darlington","1740","1675","38510","35880"
"In post","2023","Derby","1130","1010","28500","27490"
"In post","2023","Derry City and Strabane","10","10","23860","22960"
"In post","2023","Devon CC","5860","5395","34100","30930"
"In post","2023","Dorset","2255","2105","31750","29050"
"In post","2023","Dudley","1260","1100","26710","27400"
"In post","2023","Dumfries and Galloway","580","540","32010","29560"
"In post","2023","Durham","5960","5405","29540","28120"
"In post","2023","Ealing","455","425","34310","32520"
"In post","2023","East Ayrshire and North Ayrshire mainland","1055","970","29080","28120"
"In post","2023","East Cumbria","1105","1020","30080","25920"
"In post","2023","East Derbyshire","385","340","29780","28120"
"In post","2023","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","2325","2230","33160","29000"
"In post","2023","East Kent","4975","4645","29640","26780"
"In post","2023","East Lancashire","460","425","29830","28120"
"In post","2023","East Lothian and Midlothian","140","130","33080","28120"
"In post","2023","East Merseyside","1125","1015","30030","28120"
"In post","2023","East Riding of Yorkshire","2000","1875","31510","29150"
"In post","2023","East Surrey","1045","990","35830","35240"
"In post","2023","East Sussex CC","2000","1800","29350","28120"
"In post","2023","Enfield","320","290","33570","32520"
"In post","2023","Essex Haven Gateway","920","860","32360","31280"
"In post","2023","Essex Thames Gateway","925","835","29590","29640"
"In post","2023","Falkirk","1770","1565","30030","28120"
"In post","2023","Fermanagh and Omagh","25","25","26960","22130"
"In post","2023","Flintshire and Wrexham","2250","2130","30320","28480"
"In post","2023","Glasgow City","16460","15420","34390","29100"
"In post","2023","Gloucestershire CC","1445","1320","32610","28120"
"In post","2023","Greater Manchester North East","1100","1030","30540","28120"
"In post","2023","Greater Manchester North West","2195","2000","27500","28120"
"In post","2023","Greater Manchester South East","1030","940","27530","26010"
"In post","2023","Greater Manchester South West","10200","9705","34840","32000"
"In post","2023","Gwent Valleys","740","675","32980","28120"
"In post","2023","Gwynedd","820","755","28070","25920"
"In post","2023","Hackney and Newham","7270","6895","42610","39450"
"In post","2023","Haringey and Islington","1515","1430","34120","32520"
"In post","2023","Harrow and Hillingdon","3605","3305","32900","30200"
"In post","2023","Hartlepool and Stockton-on-Tees","1350","1250","30620","28880"
"In post","2023","Heart of Essex","1235","1160","33870","30740"
"In post","2023","Herefordshire, County of","475","455","30370","27470"
"In post","2023","Hertfordshire CC","2830","2660","37360","32520"
"In post","2023","Hounslow and Richmond upon Thames","2920","2770","34890","32520"
"In post","2023","Inverclyde, East Renfrewshire, and Renfrewshire","1100","990","32270","28120"
"In post","2023","Inverness and Nairn, Moray, and Badenoch and Strathspey","1240","1165","31660","28120"
"In post","2023","Isle of Anglesey","265","250","29400","27470"
"In post","2023","Isle of Wight","930","855","29760","28480"
"In post","2023","Kensington & Chelsea and Hammersmith & Fulham","865","820","34930","33800"
"In post","2023","Kent Thames Gateway","1530","1435","32160","31670"
"In post","2023","Kingston upon Hull, City of","2175","1975","29970","28120"
"In post","2023","Lambeth","2435","2355","42910","39630"
"In post","2023","Lancaster and Wyre","1210","1115","30400","27740"
"In post","2023","Leeds","13915","13170","36300","32310"
"In post","2023","Leicester","2375","2165","28770","28080"
"In post","2023","Leicestershire CC and Rutland","2090","1945","31360","28480"
"In post","2023","Lewisham and Southwark","1205","1140","35230","32520"
"In post","2023","Lincolnshire CC","3080","2895","30740","28120"
"In post","2023","Lisburn and Castlereagh","550","535","29660","25880"
"In post","2023","Liverpool","14765","13815","31080","27470"
"In post","2023","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","315","295","31540","29560"
"In post","2023","Luton","580","520","28690","27650"
"In post","2023","Manchester","7775","7440","36580","32160"
"In post","2023","Medway","1405","1335","33230","31280"
"In post","2023","Merton, Kingston upon Thames and Sutton","670","635","35520","32520"
"In post","2023","Mid Kent","985","925","32970","31280"
"In post","2023","Mid Lancashire","5815","5260","29960","28080"
"In post","2023","Mid Ulster","10","10","36960","32400"
"In post","2023","Mid and East Antrim","15","15","37480","37720"
"In post","2023","Milton Keynes","2140","2045","35160","31670"
"In post","2023","Monmouthshire and Newport","5970","5610","37010","32110"
"In post","2023","Na h-Eileanan Siar","170","155","28120","27330"
"In post","2023","Newry, Mourne and Down","75","75","25370","22130"
"In post","2023","North Hampshire","1045","985","35820","29190"
"In post","2023","North Lanarkshire","1740","1585","30000","28120"
"In post","2023","North Northamptonshire","605","540","27700","27490"
"In post","2023","North Nottinghamshire","1145","1070","32050","28880"
"In post","2023","North Yorkshire CC","2020","1920","32740","28120"
"In post","2023","North and North East Lincolnshire","895","805","27990","28090"
"In post","2023","North and West Norfolk","955","890","30490","28480"
"In post","2023","Northumberland","475","430","31800","28120"
"In post","2023","Norwich and East Norfolk","2060","1880","31160","28120"
"In post","2023","Nottingham","9405","8845","33880","29890"
"In post","2023","Orkney Islands","45","40","36130","32750"
"In post","2023","Overseas","3515","3500","53450","53650"
"In post","2023","Oxfordshire CC","2600","2435","35130","32380"
"In post","2023","Perth and Kinross, and Stirling","1400","1320","33740","31290"
"In post","2023","Peterborough","1735","1565","30100","26840"
"In post","2023","Plymouth","3315","3090","33200","28120"
"In post","2023","Portsmouth","3945","3700","33540","29560"
"In post","2023","Powys","590","555","32200","28120"
"In post","2023","Redbridge and Waltham Forest","1550","1395","30930","30930"
"In post","2023","Sandwell","455","415","28770","28120"
"In post","2023","Scottish Borders","570","530","32470","28140"
"In post","2023","Sefton","4715","4390","31430","28120"
"In post","2023","Sheffield","8265","7695","35060","31200"
"In post","2023","Shetland Islands","55","55","30640","29100"
"In post","2023","Shropshire","1255","1185","31780","30320"
"In post","2023","Solihull","1235","1140","30660","27560"
"In post","2023","Somerset CC","2540","2375","33740","29880"
"In post","2023","South Ayrshire","255","230","30630","28120"
"In post","2023","South Hampshire","4205","3660","32140","28120"
"In post","2023","South Lanarkshire","3755","3415","32510","28120"
"In post","2023","South Nottinghamshire","1060","1000","34540","30430"
"In post","2023","South Teesside","1570","1410","27800","27970"
"In post","2023","South West Wales","1640","1520","32780","28120"
"In post","2023","South and West Derbyshire","1230","1120","35850","31670"
"In post","2023","Southampton","1215","1130","34570","28880"
"In post","2023","Southend-on-Sea","425","370","31290","31280"
"In post","2023","Staffordshire CC","4470","4225","33550","30440"
"In post","2023","Stoke-on-Trent","1225","1125","28440","25830"
"In post","2023","Suffolk CC","4295","3990","31370","28130"
"In post","2023","Sunderland","3990","3415","27370","22520"
"In post","2023","Swansea","9270","8335","29050","23640"
"In post","2023","Swindon","485","455","34030","28590"
"In post","2023","Telford and Wrekin","2425","2270","37180","34400"
"In post","2023","Thurrock","395","375","28120","26180"
"In post","2023","Torbay","365","310","28330","28120"
"In post","2023","Tower Hamlets","6310","6115","51080","46270"
"In post","2023","Tyneside","19175","17675","32680","28120"
"In post","2023","Unknown","2710","2660","39690","37360"
"In post","2023","Wakefield","1870","1730","32780","30440"
"In post","2023","Walsall","350","305","28950","28120"
"In post","2023","Wandsworth","935","885","34310","33800"
"In post","2023","Warrington","2665","2525","35790","33160"
"In post","2023","Warwickshire CC","1270","1160","30030","27580"
"In post","2023","West Cumbria","1365","1250","30240","26080"
"In post","2023","West Essex","650","590","32260","29570"
"In post","2023","West Kent","185","175","37780","32520"
"In post","2023","West Lothian","455","430","36840","29450"
"In post","2023","West Northamptonshire","1130","1040","30030","28120"
"In post","2023","West Surrey","2310","2170","35480","31450"
"In post","2023","West Sussex (North East)","1305","1175","32280","28120"
"In post","2023","West Sussex (South West)","1450","1325","34300","29730"
"In post","2023","Westminster","55635","54195","50440","46470"
"In post","2023","Wiltshire","7895","7585","38970","35710"
"In post","2023","Wirral","2310","2035","28140","28080"
"In post","2023","Wolverhampton","1360","1215","28320","28120"
"In post","2023","Worcestershire CC","2375","2225","31350","28880"
"In post","2023","York","2790","2650","35820","32800"
"Leaver CS","2023","Aberdeen City and Aberdeenshire","160","[c]","35180","30000"
"Leaver CS","2023","Angus and Dundee City","150","[c]","26080","23190"
"Leaver CS","2023","Antrim and Newtownabbey","20","[c]","31560","25730"
"Leaver CS","2023","Ards and North Down","20","[c]","33960","25690"
"Leaver CS","2023","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Barking & Dagenham and Havering","70","[c]","31610","31450"
"Leaver CS","2023","Barnet","255","[c]","35890","32330"
"Leaver CS","2023","Barnsley, Doncaster and Rotherham","265","[c]","25840","21690"
"Leaver CS","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","1145","[c]","39330","35070"
"Leaver CS","2023","Bedford","115","[c]","33150","27570"
"Leaver CS","2023","Belfast","180","[c]","27410","22490"
"Leaver CS","2023","Berkshire","300","[c]","34530","29480"
"Leaver CS","2023","Bexley and Greenwich","240","[c]","32970","31060"
"Leaver CS","2023","Birmingham","1145","[c]","31720","26900"
"Leaver CS","2023","Blackburn with Darwen","40","[c]","26400","21690"
"Leaver CS","2023","Blackpool","340","[c]","30610","27570"
"Leaver CS","2023","Bournemouth, Christchurch and Poole","90","[c]","27240","27570"
"Leaver CS","2023","Bradford","245","[c]","25910","27570"
"Leaver CS","2023","Breckland and South Norfolk","60","[c]","[c]","[c]"
"Leaver CS","2023","Brent","75","[c]","33020","31060"
