"var","values"
"Status","In post"
"Status","New entrant CS"
"Status","Leaver CS"
"Status","Leaver Dept."
"Year","2022"
"Parent_department","Cabinet Office"
"Parent_department","Charity Commission"
"Parent_department","Chancellor's other departments"
"Parent_department","HM Treasury"
"Parent_department","Ministry of Justice"
"Parent_department","Scottish Government"
"Parent_department","Northern Ireland Office"
"Parent_department","Competition and Markets Authority"
"Parent_department","Ministry of Defence"
"Parent_department","Foreign, Commonwealth and Development Office"
"Parent_department","Attorney General's Departments"
"Parent_department","Home Office"
"Parent_department","Office of the Secretary of State for Scotland"
"Parent_department","Department for Work and Pensions"
"Parent_department","Department for Business, Energy and Industrial Strategy"
"Parent_department","UK Export Finance"
"Parent_department","Department for International Trade"
"Parent_department","HM Revenue and Customs"
"Parent_department","National Crime Agency"
"Parent_department","Welsh Government"
"Parent_department","Department of Health and Social Care"
"Parent_department","Water Services Regulation Authority"
"Parent_department","Department for Digital, Culture, Media and Sport"
"Parent_department","Office for Standards in Education, Children's Services and Skills"
"Parent_department","Estyn"
"Parent_department","Office of Rail and Road"
"Parent_department","Department for Education"
"Parent_department","Office of the Secretary of State for Wales"
"Parent_department","Department for Transport"
"Parent_department","Food Standards Agency"
"Parent_department","Office of Gas and Electricity Markets"
"Parent_department","Department for Environment, Food and Rural Affairs"
"Parent_department","Department for Levelling Up, Housing and Communities"
"Parent_department","HM Land Registry"
"Parent_department","The National Archives"
"Parent_department","UK Statistics Authority"
"Parent_department","UK Supreme Court"
"Parent_department","Office of Qualifications and Examinations Regulation"
"Organisation","Cabinet Office (excl. agencies)"
"Organisation","Charity Commission"
"Organisation","Government Actuary's Department"
"Organisation","HM Treasury (excl. agencies)"
"Organisation","Ministry of Justice (excl. agencies)"
"Organisation","Scottish Courts and Tribunals Service"
"Organisation","Northern Ireland Office"
"Organisation","Competition and Markets Authority"
"Organisation","Ministry of Defence (excl. agencies)"
"Organisation","FCDO Services"
"Organisation","Attorney General's Office"
"Organisation","Home Office"
"Organisation","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)"
"Organisation","Crown Office and Procurator Fiscal Service"
"Organisation","Health and Safety Executive"
"Organisation","Advisory, Conciliation and Arbitration Service"
"Organisation","Foreign, Commonwealth and Development Office (excl. agencies)"
"Organisation","UK Export Finance"
"Organisation","Department for Business, Energy and Industrial Strategy (excl. agencies)"
"Organisation","Department for International Trade"
"Organisation","HM Revenue and Customs (excl. agencies)"
"Organisation","National Crime Agency"
"Organisation","National Savings and Investments"
"Organisation","Government Internal Audit Agency"
"Organisation","National Infrastructure Commission"
"Organisation","Welsh Government (excl. agencies)"
"Organisation","Crown Prosecution Service"
"Organisation","Serious Fraud Office"
"Organisation","Department for Work and Pensions (excl. agencies)"
"Organisation","Department of Health and Social Care (excl. agencies)"
"Organisation","Water Services Regulation Authority"
"Organisation","Defence Equipment and Support"
"Organisation","Royal Fleet Auxiliary"
"Organisation","Department for Digital, Culture, Media and Sport"
"Organisation","Office for Standards in Education, Children's Services and Skills"
"Organisation","Estyn"
"Organisation","Office of Rail and Road"
"Organisation","Department for Education (excl. agencies)"
"Organisation","UK Debt Management Office"
"Organisation","Office of the Secretary of State for Wales"
"Organisation","Maritime and Coastguard Agency"
"Organisation","Scottish Government (excl. agencies)"
"Organisation","Food Standards Agency"
"Organisation","Office of Gas and Electricity Markets"
"Organisation","Rural Payments Agency"
"Organisation","Department for Environment, Food and Rural Affairs (excl. agencies)"
"Organisation","Department for Levelling Up, Housing and Communities (excl. agencies)"
"Organisation","Department for Transport (excl. agencies)"
"Organisation","HM Crown Prosecution Service Inspectorate"
"Organisation","Accountant in Bankruptcy"
"Organisation","Medicines and Healthcare Products Regulatory Agency"
"Organisation","Office of the Scottish Charity Regulator"
"Organisation","Animal and Plant Health Agency"
"Organisation","Transport Scotland"
"Organisation","HM Courts and Tribunals Service"
"Organisation","Revenue Scotland"
"Organisation","Food Standards Scotland"
"Organisation","Scottish Fiscal Commission"
"Organisation","Companies House"
"Organisation","Queen Elizabeth II Centre"
"Organisation","Intellectual Property Office"
"Organisation","The Insolvency Service"
"Organisation","Registers of Scotland"
"Organisation","Driver and Vehicle Licensing Agency"
