"Status","Year","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","1865","1755","36180","30650"
"In post","2021","Angus and Dundee City","1900","1750","26230","22080"
"In post","2021","Antrim and Newtownabbey","200","195","24570","20310"
"In post","2021","Ards and North Down","225","220","25880","21270"
"In post","2021","Armagh City, Banbridge and Craigavon","5","5","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","600","545","30460","31060"
"In post","2021","Barnet","1680","1585","39880","32650"
"In post","2021","Barnsley, Doncaster and Rotherham","2995","2670","27170","27150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","13355","12825","37750","34370"
"In post","2021","Bedford","835","785","30220","28190"
"In post","2021","Belfast","2815","2625","28890","25560"
"In post","2021","Berkshire","2955","2820","34390","30890"
"In post","2021","Bexley and Greenwich","1765","1685","31820","31060"
"In post","2021","Birmingham","11600","10800","31170","27570"
"In post","2021","Blackburn with Darwen","495","445","26790","27570"
"In post","2021","Blackpool","5140","4700","29050","27570"
"In post","2021","Bournemouth and Poole","715","640","26860","27370"
"In post","2021","Bradford","3100","2745","27200","25560"
"In post","2021","Breckland and South Norfolk","525","500","28550","26750"
"In post","2021","Brent","605","560","31430","31060"
"In post","2021","Bridgend and Neath Port Talbot","710","630","27110","27570"
"In post","2021","Brighton and Hove","655","590","30600","27570"
"In post","2021","Bristol, City of","6610","6135","35860","31810"
"In post","2021","Bromley","460","420","29400","31060"
"In post","2021","Buckinghamshire CC","1680","1600","32150","29750"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","215","200","29320","27570"
"In post","2021","Calderdale and Kirklees","1055","940","27030","27570"
"In post","2021","Cambridgeshire CC","3375","3200","33980","31220"
"In post","2021","Camden and City of London","3640","3485","38270","32520"
"In post","2021","Cardiff and Vale of Glamorgan","12065","11265","32950","27570"
"In post","2021","Causeway Coast and Glens","70","70","20720","20310"
"In post","2021","Central Bedfordshire","430","415","30230","27570"
"In post","2021","Central Hampshire","4185","4035","36180","33300"
"In post","2021","Central Valleys","1710","1590","34570","28850"
"In post","2021","Cheshire East","755","705","30050","27570"
"In post","2021","Cheshire West and Chester","455","420","26080","27300"
"In post","2021","Chorley and West Lancashire","1330","1230","29700","27570"
"In post","2021","City of Edinburgh","12800","12200","37390","32140"
"In post","2021","Clackmannanshire and Fife","1350","1250","29960","27570"
"In post","2021","Conwy and Denbighshire","685","640","35060","30210"
"In post","2021","Cornwall and Isles of Scilly","1645","1500","26590","26670"
"In post","2021","Coventry","2425","2295","36870","32300"
"In post","2021","Croydon","9625","9135","38350","35070"
"In post","2021","Darlington","975","925","35680","30900"
"In post","2021","Derby","1015","900","26450","22920"
"In post","2021","Derry City and Strabane","10","10","21710","21110"
"In post","2021","Devon CC","5575","5115","31680","27570"
"In post","2021","Dorset CC","2140","2010","29140","27130"
"In post","2021","Dudley","1145","990","25080","26080"
"In post","2021","Dumfries and Galloway","565","520","29320","27570"
"In post","2021","Durham CC","5595","5025","27020","25310"
"In post","2021","Ealing","515","485","31310","31060"
"In post","2021","East Ayrshire and North Ayrshire mainland","960","870","26710","26570"
"In post","2021","East Cumbria","940","855","27620","24920"
"In post","2021","East Derbyshire","395","345","26830","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","2420","2310","30550","27570"
"In post","2021","East Kent","4230","3895","28190","26670"
"In post","2021","East Lancashire","480","430","25810","27570"
"In post","2021","East Lothian and Midlothian","110","105","27940","27570"
"In post","2021","East Merseyside","1040","930","27640","27570"
"In post","2021","East Riding of Yorkshire","1890","1785","28640","26810"
"In post","2021","East Surrey","990","935","33430","33590"
"In post","2021","East Sussex CC","1995","1795","26810","27570"
"In post","2021","Enfield","360","335","30130","31060"
"In post","2021","Essex Haven Gateway","1135","1070","32320","29290"
"In post","2021","Essex Thames Gateway","940","835","27660","28730"
"In post","2021","Falkirk","1815","1600","27580","27570"
"In post","2021","Fermanagh and Omagh","20","20","20330","20310"
"In post","2021","Flintshire and Wrexham","2155","2035","27810","26300"
"In post","2021","Glasgow City","11650","10850","31820","27570"
"In post","2021","Gloucestershire","1400","1260","29260","27570"
"In post","2021","Greater Manchester North East","1205","1125","27610","27570"
"In post","2021","Greater Manchester North West","1985","1780","25310","24440"
"In post","2021","Greater Manchester South East","1390","1275","25630","22080"
"In post","2021","Greater Manchester South West","6145","5790","30490","27100"
"In post","2021","Gwent Valleys","1085","980","28350","27570"
"In post","2021","Gwynedd","745","680","25100","21050"
"In post","2021","Hackney and Newham","3045","2825","34600","31060"
"In post","2021","Haringey and Islington","1505","1435","31110","31060"
"In post","2021","Harrow and Hillingdon","3405","3085","31170","29250"
"In post","2021","Hartlepool and Stockton-on-Tees","1550","1410","27240","27570"
"In post","2021","Heart of Essex","1115","1050","31990","29290"
"In post","2021","Herefordshire, County of","435","420","27930","26670"
"In post","2021","Hertfordshire","2720","2565","34780","31170"
"In post","2021","Hounslow and Richmond upon Thames","2860","2705","32620","31060"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","1040","940","29630","27570"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","1135","1070","29090","27570"
"In post","2021","Isle of Anglesey","245","235","27690","26670"
