"Status","Year","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","7585","7345","47340","41590"
"In post","2023","Communications","4110","3970","43840","40890"
"In post","2023","Corporate Finance","105","100","53090","45340"
"In post","2023","Counter Fraud","9595","8850","31720","28120"
"In post","2023","Digital, Data and Technology","23155","22575","44500","41200"
"In post","2023","Economics","2165","2120","49250","45560"
"In post","2023","Finance","10220","9790","42920","39030"
"In post","2023","Geography","480","455","33030","34370"
"In post","2023","Human Resources","13005","12470","39920","35410"
"In post","2023","Inspector of Education and Training","1090","1070","66670","72470"
"In post","2023","Intelligence Analysis","3235","3105","35100","32160"
"In post","2023","Internal Audit","765","725","47910","44930"
"In post","2023","International Trade","2155","2120","48840","43540"
"In post","2023","Knowledge and Information Management","2500","2385","36260","33830"
"In post","2023","Legal","11550","10805","52690","52790"
"In post","2023","Medicine","2460","2175","57840","45770"
"In post","2023","Operational Delivery","272430","250240","29950","28120"
"In post","2023","Operational Research","1155","1115","44080","42510"
"In post","2023","Other","16235","15280","34330","29540"
"In post","2023","Planning","230","220","46210","41450"
"In post","2023","Planning Inspectors","470","420","58280","60050"
"In post","2023","Policy","33020","32135","49460","47060"
"In post","2023","Project Delivery","18125","17510","45910","42140"
"In post","2023","Property","6950","6640","38100","34400"
"In post","2023","Psychology","1590","1525","37980","32420"
"In post","2023","Science and Engineering","13315","12860","41500","39890"
"In post","2023","Security","9505","9280","35090","32480"
"In post","2023","Social Research","1585","1510","44910","41700"
"In post","2023","Statistics","2945","2840","44860","41540"
"In post","2023","Tax","17385","16465","37940","35000"
"In post","2023","Unknown","30270","29190","42400","36330"
"In post","2023","Veterinarian","395","375","44650","40260"
"Leaver CS","2023","Commercial","420","[c]","39930","36990"
"Leaver CS","2023","Communications","395","[c]","41930","39440"
"Leaver CS","2023","Corporate Finance","15","[c]","45870","42750"
"Leaver CS","2023","Counter Fraud","490","[c]","29930","28120"
"Leaver CS","2023","Digital, Data and Technology","1925","[c]","43980","40270"
"Leaver CS","2023","Economics","215","[c]","36900","32320"
"Leaver CS","2023","Finance","775","[c]","41350","37670"
"Leaver CS","2023","Geography","15","[c]","30790","30750"
"Leaver CS","2023","Human Resources","1340","[c]","34870","30470"
"Leaver CS","2023","Inspector of Education and Training","145","[c]","68050","77470"
"Leaver CS","2023","Intelligence Analysis","180","[c]","33550","31690"
"Leaver CS","2023","Internal Audit","75","[c]","46970","43160"
"Leaver CS","2023","International Trade","110","[c]","45780","40300"
"Leaver CS","2023","Knowledge and Information Management","100","[c]","33480","29840"
"Leaver CS","2023","Legal","865","[c]","53000","52790"
"Leaver CS","2023","Medicine","375","[c]","53530","40890"
"Leaver CS","2023","Operational Delivery","25720","[c]","28610","26750"
"Leaver CS","2023","Operational Research","50","[c]","46360","39680"
"Leaver CS","2023","Other","1485","[c]","31790","25880"
"Leaver CS","2023","Planning","20","[c]","30340","30190"
"Leaver CS","2023","Planning Inspectors","20","[c]","60530","60050"
"Leaver CS","2023","Policy","2035","[c]","45800","41360"
"Leaver CS","2023","Project Delivery","1195","[c]","43840","40310"
"Leaver CS","2023","Property","520","[c]","36540","33960"
"Leaver CS","2023","Psychology","125","[c]","42480","41320"
"Leaver CS","2023","Science and Engineering","1455","[c]","37050","33990"
"Leaver CS","2023","Security","825","[c]","32440","27500"
"Leaver CS","2023","Social Research","90","[c]","35900","34040"
"Leaver CS","2023","Statistics","215","[c]","33000","29250"
"Leaver CS","2023","Tax","1050","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","3800","[c]","44150","37760"
"Leaver CS","2023","Veterinarian","45","[c]","44580","40260"
"Leaver Dept.","2023","Commercial","240","[c]","38140","38800"
"Leaver Dept.","2023","Communications","255","[c]","39800","35410"
"Leaver Dept.","2023","Corporate Finance","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","190","[c]","30850","28120"
"Leaver Dept.","2023","Digital, Data and Technology","655","[c]","41830","38160"
"Leaver Dept.","2023","Economics","160","[c]","46200","38660"
"Leaver Dept.","2023","Finance","425","[c]","43870","37590"
"Leaver Dept.","2023","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","545","[c]","37480","33050"
"Leaver Dept.","2023","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Intelligence Analysis","60","[c]","36740","35500"
"Leaver Dept.","2023","Internal Audit","25","[c]","46760","42810"
"Leaver Dept.","2023","International Trade","95","[c]","40730","38160"
"Leaver Dept.","2023","Knowledge and Information Management","50","[c]","36170","33440"
"Leaver Dept.","2023","Legal","240","[c]","54740","52530"
"Leaver Dept.","2023","Medicine","10","[c]","[c]","[c]"
