"Status","Year","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","10325","9965","44970","40280"
"In post","2023","Commercial","7280","7070","47870","42500"
"In post","2023","Communications","4150","4010","44240","41060"
"In post","2023","Counter Fraud","17140","15935","34100","32260"
"In post","2023","Debt","7755","6975","24710","22520"
"In post","2023","Digital, Data & Technology","26350","25635","43440","39910"
"In post","2023","Finance","12870","12200","41040","37680"
"In post","2023","Grants Management","2615","2415","26560","22150"
"In post","2023","Human Resources","14420","13795","39470","34850"
"In post","2023","Internal Audit","735","700","48100","45250"
"In post","2023","Legal","13380","12515","47850","51270"
"In post","2023","No function","330685","307080","33290","28880"
"In post","2023","Project Delivery","22300","21470","46160","42140"
"In post","2023","Property","8905","8520","37430","34300"
"In post","2023","Security","10035","9790","34780","31270"
"In post","2023","Unknown","30825","29590","42020","38330"
"Leaver CS","2023","Analysis","875","[c]","36860","32320"
"Leaver CS","2023","Commercial","640","[c]","50550","42550"
"Leaver CS","2023","Communications","440","[c]","42840","40000"
"Leaver CS","2023","Counter Fraud","905","[c]","30230","28120"
"Leaver CS","2023","Debt","845","[c]","22630","21690"
"Leaver CS","2023","Digital, Data & Technology","2205","[c]","43730","40050"
"Leaver CS","2023","Finance","865","[c]","41530","38210"
"Leaver CS","2023","Grants Management","200","[c]","23840","22150"
"Leaver CS","2023","Human Resources","1495","[c]","35390","30680"
"Leaver CS","2023","Internal Audit","75","[c]","46970","43160"
"Leaver CS","2023","Legal","895","[c]","45960","49050"
"Leaver CS","2023","No function","30740","[c]","31680","27570"
"Leaver CS","2023","Project Delivery","1375","[c]","43320","39940"
"Leaver CS","2023","Property","690","[c]","35510","32430"
"Leaver CS","2023","Security","930","[c]","32520","27680"
"Leaver CS","2023","Unknown","2905","[c]","39740","34170"
"Leaver Dept.","2023","Analysis","560","[c]","40940","36840"
"Leaver Dept.","2023","Commercial","290","[c]","39440","38980"
"Leaver Dept.","2023","Communications","300","[c]","40310","36590"
"Leaver Dept.","2023","Counter Fraud","330","[c]","30990","28120"
"Leaver Dept.","2023","Debt","195","[c]","23340","21690"
"Leaver Dept.","2023","Digital, Data & Technology","750","[c]","41740","38080"
"Leaver Dept.","2023","Finance","465","[c]","43710","37590"
"Leaver Dept.","2023","Grants Management","60","[c]","25810","22150"
"Leaver Dept.","2023","Human Resources","760","[c]","37400","32960"
"Leaver Dept.","2023","Internal Audit","20","[c]","42950","42520"
"Leaver Dept.","2023","Legal","285","[c]","44740","40960"
"Leaver Dept.","2023","No function","9035","[c]","36330","31290"
"Leaver Dept.","2023","Project Delivery","545","[c]","40110","36050"
"Leaver Dept.","2023","Property","210","[c]","36850","33570"
"Leaver Dept.","2023","Security","220","[c]","33970","32630"
"Leaver Dept.","2023","Unknown","1335","[c]","38090","32100"
"New entrant CS","2023","Analysis","1480","[c]","33540","31560"
"New entrant CS","2023","Commercial","745","[c]","39160","32500"
"New entrant CS","2023","Communications","565","[c]","38060","35410"
"New entrant CS","2023","Counter Fraud","660","[c]","28730","27650"
"New entrant CS","2023","Debt","1675","[c]","22750","22520"
"New entrant CS","2023","Digital, Data & Technology","3200","[c]","39410","36180"
"New entrant CS","2023","Finance","840","[c]","33560","28960"
"New entrant CS","2023","Grants Management","410","[c]","22980","22150"
"New entrant CS","2023","Human Resources","1170","[c]","33210","29970"
"New entrant CS","2023","Internal Audit","60","[c]","44200","41000"
"New entrant CS","2023","Legal","1550","[c]","35130","28200"
"New entrant CS","2023","No function","36005","[c]","27950","25750"
"New entrant CS","2023","Project Delivery","1800","[c]","37240","33830"
"New entrant CS","2023","Property","915","[c]","32270","27080"
"New entrant CS","2023","Security","975","[c]","29950","27500"
"New entrant CS","2023","Unknown","4705","[c]","31690","29100"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
